Am/PH sheath cells.c	Body wall muscle.c	Canal associated neurons.c	Cholinergic neurons.c	Ciliated sensory neurons.c	Coelomocytes.c	Distal tip cells.c	Dopaminergic neurons.c	Excretory cells.c	flp-1(+) interneurons.c	GABAergic neurons.c	Germline.c	Intestinal/rectal muscle.c	Non-seam hypodermis.c	Other interneurons.c	Oxygen sensory neurons.c	Pharyngeal epithelia.c	Pharyngeal gland.c	Pharyngeal muscle.c	Pharyngeal neurons.c	Rectum.c	Seam cells.c	Sex myoblasts.c	Socket cells.c	Somatic gonad precursors.c	Touch receptor neurons.c	Vulval precursors.c	Intestine.c	Ciona10	Ciona11	Ciona12	Ciona13	Ciona14	Ciona15	Ciona16	Ciona17	Ciona18	Ciona19	Ciona1	Ciona20	Ciona21	Ciona22	Ciona23	Ciona24	Ciona25	Ciona26	Ciona27	Ciona28	Ciona29	Ciona2	Ciona30	Ciona31	Ciona32	Ciona33	Ciona34	Ciona35	Ciona36	Ciona3	Ciona4	Ciona5	Ciona6	Ciona7	Ciona8	Ciona9
GABAergic neurons.c	0.3936850719519	0.563569004368183	0.901091662838412	0.952988499152361	0.915459425711795	0.866916842250246	0.535981879930167	0.910060477626323	0.404755553364692	0.929527974214758	0.952672010688043	0.200262494601952	0.764324452827223	0.455879968053834	0.923416479254242	0.947061766675828	0.551558455357269	0.770945963121005	0.456248745547947	0.931465972335261	0.302400057118428	0.0967405966430862	0.458957217586527	0.796316274235522	0.312236748005816	0.925542910715947	0.204429533324295	0.197575544296815	0.528876672308527	0.936386400363566	0.501855110081816	0.829303503306415	0.376839574956775	0.205613347468883	0.92720967995076	0.356117243709222	0.968297897973862	0.958488689918062	0.749764989706461	0.307856636537082	0.676015275014508	0.941572970022544	0.388045470259008	0.267779787758925	0.188523723808231	0.246899385697558	0.165318821438719	0.21779433089141	0.946029053319479	0.535707319360321	0.409650912162297	0.614435613764415	0.258356010106869	0.209374784763495	0.259221865990132	0.194593606180332	0.123999218085905	0.387593432017363	0.201561532224291	0.451774037371379	0.928135355939908	0.295037012801112	0.716580371899177	0.520920598795266
Germline.c	0.336415156205154	0.0210098389487589	0.264661102277608	0.207727598419633	0.27203029722518	0.308727753775621	0.310773030796619	0.254029392521752	0.274114594773239	0.329294736204451	0.200262494601952	0.999685010190847	0.149898109697835	0.260196587640135	0.201495011032314	0.301721931542741	0.264432486999266	0.49953580548932	0.267812238879225	0.202426986569531	0.258185571879958	0.744684249980094	0.598227901677388	0.227410862383334	0.86353765163653	0.24682044701346	0.722947727196478	0.513091997622881	0.0777907035613838	0.020824189364782	0.053753794563077	0.0397487551538171	0.182599370231777	0.595090194859493	0.0263263770630862	0.870122063149435	0.0281079748482881	0.0389890395706795	0.542972556946939	0.86854807403123	0.542612813646475	0.0236479425347179	0.850511060873697	0.89610481643483	0.884344273646309	0.675975183882692	0.982371905663943	0.921733355138653	0.0349537843913083	0.679432172144768	0.083177397845034	0.0750203621608917	0.792275301106591	0.801548413767558	0.675444436855171	0.843086822578247	0.816028372188984	0.821434929964336	0.783197634862019	0.875499802455416	0.0590598322719977	0.777772963919679	0.0353510176451873	0.0803088173707816
Intestinal/rectal muscle.c	0.591305958747135	0.813706921478269	0.679945085010748	0.828919844420386	0.655757347006599	0.507778873868388	0.693855802546035	0.74957051829979	0.52981711095034	0.719212199331018	0.764324452827223	0.149898109697835	0.746156862745098	0.482836551218378	0.795085448226113	0.820926398788543	0.588024778355462	0.480230163505664	0.671207084166112	0.794301610923997	0.495317566603081	0.263506413323922	0.696058536330644	0.471066706780555	0.415098039215686	0.80312283967551	0.369417674638509	0.436199232508017	0.726133128481117	0.650998054672548	0.825412009562991	0.841050750383526	0.655462880141843	0.546973099464946	0.65398182257853	0.177656028087526	0.711169526491989	0.765745105860453	0.265312388379291	0.215626293010422	0.349467630990961	0.908964049313993	0.276645138915426	0.180460032903843	0.372324665803172	0.600153748579256	0.19562702288996	0.179578716422346	0.873575061965672	0.235258892046027	0.87715276965657	0.869678526014089	0.414124557925448	0.511392952042756	0.611373653314735	0.48955549390117	0.471824625002014	0.20700178867018	0.332709267783547	0.350193411389287	0.803445137927528	0.357632653061224	0.850406713017212	0.705724187684134
Non-seam hypodermis.c	0.843760103140919	0.450533491309881	0.528849844854611	0.398720192971381	0.388177176947139	0.53914457356413	0.461316928407417	0.546324665054212	0.939122616687134	0.514280117106775	0.455879968053834	0.260196587640135	0.482836551218378	0.991517652453003	0.338747113315022	0.469683979361768	0.860737082591984	0.656377284593376	0.627567447611507	0.473816236691871	0.975129477418287	0.931219130755183	0.184552387243709	0.922999928236111	0.465278430858818	0.290481659236339	0.882516848493043	0.805616637788385	0.711501381362386	0.446191780872268	0.863982320068413	0.613103665153746	0.747059170028321	0.629104358697405	0.535166963984955	0.575741994905402	0.371432601130004	0.232603557095873	0.857960362454993	0.579338054424045	0.748792094711551	0.36987498325976	0.682047429531384	0.490197508308894	0.284727407244978	0.305149329325925	0.389863073384624	0.496013570543711	0.346323218593898	0.782967688013657	0.841860445154231	0.666001179363176	0.220896995701598	0.255867449847118	0.230312295095031	0.257693177542655	0.191932130427888	0.59992775065865	0.628076823135589	0.297432926545003	0.55002853106039	0.482868943083882	0.75362080422225	0.852365230438124
Other interneurons.c	0.516963865205553	0.664603346338094	0.889234594189094	0.948938132789827	0.927183268708692	0.710021386683791	0.597429102899134	0.908006901298499	0.297649960175155	0.924943743824742	0.923416479254242	0.201495011032314	0.795085448226113	0.338747113315022	0.932836728488902	0.949469542788596	0.656974837101159	0.699863018572547	0.663506996906289	0.926887213791631	0.281601219448312	0.0826020354835645	0.50538050883677	0.775341504991707	0.218608135257752	0.924926584364857	0.171782863457053	0.258783127933961	0.670941091426075	0.935496273500517	0.514123265948935	0.781228961527929	0.312513684672087	0.148126561003549	0.909838191699605	0.354383202790445	0.962422477408564	0.949972501238955	0.737442971423192	0.27514325305649	0.685179112841224	0.947970746368005	0.477039525889212	0.263209820810405	0.189202972024814	0.15506177536681	0.11036874925538	0.177516156475688	0.94126666621854	0.567506433289612	0.570326037088506	0.421955405034042	0.141715562052612	0.120477425110355	0.176169956131996	0.149476133265046	0.108727105105668	0.390003096436818	0.0954756403939456	0.468788394825491	0.932072713883643	0.361217077283939	0.714021021417522	0.478628085564349
Oxygen sensory neurons.c	0.597786624031043	0.517933863399748	0.911065128370736	0.972851685142373	0.959613923431658	0.823644025046673	0.748291196707207	0.92661433075289	0.452873914356176	0.957091538618958	0.947061766675828	0.301721931542741	0.820926398788543	0.469683979361768	0.949469542788596	0.985752330226365	0.701896825659287	0.787031586998387	0.597623447809465	0.954704837993786	0.337905044909604	0.075844393090414	0.4011540168664	0.864675069171231	0.369235372444584	0.954808506490569	0.14942699382144	0.284501451148246	0.48667006050795	0.954894600420521	0.52249231782008	0.859981346942078	0.351594552730958	0.155500364314908	0.945081082432639	0.311157272755734	0.983989033781836	0.97752398034726	0.728616997623987	0.300264154323153	0.69162540303419	0.979495832974899	0.390695052580404	0.177699350084429	0.238515796968119	0.246551350057639	0.139654537098174	0.23483674848445	0.94717381997088	0.490303445234055	0.512977682065618	0.557483404769596	0.144734059228227	0.105419795898975	0.15756350734725	0.154525899356408	0.149926671742149	0.392310937529169	0.133234582178771	0.713782049409456	0.964677106498608	0.363036999087251	0.706527463161115	0.461618034228373
Pharyngeal epithelia.c	0.930827033648973	0.363008448961479	0.827518156344366	0.679402769126281	0.838765573865207	0.512105179565607	0.802728537917781	0.702458021858482	0.924213407710812	0.717717012949596	0.551558455357269	0.264432486999266	0.588024778355462	0.860737082591984	0.656974837101159	0.701896825659287	0.99691380569759	0.933351668312493	0.979685207426848	0.81153905822186	0.896416110200386	0.707110390034841	0.364373745484067	0.927247796179787	0.686232565633996	0.585292547846116	0.757923915207907	0.910163075726984	0.949161052390893	0.836876926777219	0.98714967257475	0.784130554912791	0.906756884133687	0.769833672811475	0.865281601768088	0.387798564040774	0.589668569875101	0.47694449575763	0.44624210498964	0.284431773102771	0.85439053184873	0.715683870089749	0.395828717719045	0.597993823795558	0.196378386521578	0.132392715214043	0.280441867310078	0.248787075212196	0.611604311800782	0.310715074532685	0.877084243988225	0.792149466555748	0.270843885410948	0.426062395646891	0.443004242744788	0.420506829145209	0.338088784136674	0.313319570159183	0.268484560138674	0.501429195234109	0.630934085801538	0.425526371980494	0.638173901262089	0.967229967131377
Pharyngeal gland.c	0.834812839173759	0.173711019305563	0.77532682814876	0.680104346914163	0.85366622844039	0.640980613200474	0.727555521872155	0.791018450004	0.682327939603021	0.806712093005748	0.770945963121005	0.49953580548932	0.480230163505664	0.656377284593376	0.699863018572547	0.787031586998387	0.933351668312493	0.956065875613748	0.907311996584928	0.820379367335642	0.719172264820666	0.681084060738316	0.417448729934919	0.723761550859936	0.714064491672283	0.580692607683257	0.629242600676224	0.854997858189668	0.855813296139559	0.864257601791381	0.892598483900067	0.77991716640835	0.870550508448967	0.606374537206235	0.868760785063687	0.686357230420368	0.558991293420911	0.656563691358686	0.752150594577941	0.609186671179039	0.945048626701487	0.625590571848534	0.564745797407026	0.570228720350783	0.298421195504973	0.0788274471850604	0.444535828243891	0.526397962851417	0.385798040606857	0.695395694955678	0.371067935675635	0.518562459273006	0.23320946135352	0.182677790856469	0.210564488795861	0.213085824736258	0.236672361126065	0.627969555921982	0.374929540915786	0.341440910350092	0.516937959692131	0.480732358409812	0.44500162425403	0.887100351618303
Pharyngeal muscle.c	0.848955059584248	0.625764878585807	0.749594447186556	0.532131492547345	0.838664005406135	0.460186077926425	0.633558095250273	0.595555617772505	0.810505874513175	0.586630928188001	0.456248745547947	0.267812238879225	0.671207084166112	0.627567447611507	0.663506996906289	0.597623447809465	0.979685207426848	0.907311996584928	0.972809793471019	0.84166989908784	0.698858153318774	0.44369049681294	0.266238874483145	0.817570670463508	0.474546906637405	0.568870752831446	0.422661521217008	0.823921679559471	0.891292599114241	0.770948462616044	0.946345657336196	0.743298620569867	0.799536314347544	0.66350181152614	0.750361961405143	0.451161561854462	0.55015620585424	0.4830767820788	0.367355288453079	0.316115529140863	0.887785970819338	0.653622334882599	0.326384598548899	0.552585945795448	0.268946923027173	0.218247132698944	0.324899131205845	0.294553829704735	0.481837264527046	0.262827266053733	0.802173774475068	0.671494449453792	0.34707441774104	0.533451033731124	0.54027076801938	0.448764022757466	0.295297952395408	0.312618980427827	0.306952534373505	0.329350102081483	0.628386570234921	0.501573479158485	0.747987521009308	0.900520028724997
Pharyngeal neurons.c	0.623289806783384	0.571981554036502	0.899825776778986	0.952276646361997	0.929409278347192	0.873582704082617	0.827017612813036	0.911343366631076	0.472799517598946	0.931889574414283	0.931465972335261	0.202426986569531	0.794301610923997	0.473816236691871	0.926887213791631	0.954704837993786	0.81153905822186	0.820379367335642	0.84166989908784	0.946693297825122	0.41899373524469	0.138572399591768	0.218708388814913	0.782174021226954	0.347178298216757	0.92731006115763	0.169181754832212	0.320535300564395	0.329886108485175	0.925890671857363	0.453934548355497	0.746360784052512	0.300288101577368	0.135539459059064	0.891366518740527	0.367936062105607	0.957592591011628	0.949594504229701	0.741834021548337	0.297625310176822	0.656201668392586	0.942384138406904	0.37455150843974	0.243675907807563	0.289482453437424	0.151830192958824	0.185536962305371	0.257089513057609	0.917973898032297	0.541497285001615	0.448968726478237	0.391526181442269	0.151571256350302	0.197048663778197	0.238289867230531	0.262630724841344	0.0943475144134114	0.409638302898884	0.22254429641279	0.589143850392448	0.936070706416176	0.470448752070735	0.658556070141685	0.3799315346023
