,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p
60,ENSDARG00000043757,3.314779450091265e-147,ENSDARG00000071670,0.0,ENSDARG00000024844,0.0,ENSDARG00000098108,0.0,ENSDARG00000098280,7.326507838692218e-172,ENSDARG00000039273,8.315125488121701e-96,ENSDARG00000091418,1.8829300254704342e-98,ENSDARG00000074552,1.2714280601383305e-105,ENSDARG00000037965,1.3355291777983338e-40,ENSDARG00000024846,1.8164349093923905e-56,ENSDARG00000026865,2.2992739396774124e-56,ENSDARG00000076554,1.6457428725582678e-109,ENSDARG00000017084,2.1354441847643186e-221,ENSDARG00000035631,6.396127896455789e-28,ENSDARG00000052966,1.870881556144913e-94,ENSDARG00000091418,2.041889936135629e-74,ENSDARG00000019951,3.3842365387879174e-33,ENSDARG00000008407,1.257927480542459e-229,ENSDARG00000045542,2.0306794570848203e-28,ENSDARG00000041065,2.1349292478792125e-73,ENSDARG00000052010,4.1908781374846564e-29,ENSDARG00000058349,3.409411097726611e-36,ENSDARG00000056605,6.103148164587855e-48,ENSDARG00000069360,4.8484340529767135e-30,ENSDARG00000102874,2.067927895252451e-38,ENSDARG00000033604,3.539285705029178e-21,ENSDARG00000004956,1.6908887045233903e-95,ENSDARG00000018426,3.5047472833421646e-103,ENSDARG00000088040,2.9640098331113236e-23,ENSDARG00000058226,8.312887294076543e-20,ENSDARG00000055009,6.637031907564142e-12,ENSDARG00000104413,1.1549428212104757e-12
61,ENSDARG00000039719,1.0841293983141662e-146,ENSDARG00000019941,0.0,ENSDARG00000031952,0.0,ENSDARG00000010962,0.0,ENSDARG00000004060,2.8947325781240687e-171,ENSDARG00000056178,4.045613429082698e-94,ENSDARG00000038980,2.0103420398482775e-97,ENSDARG00000008785,1.4088098359308254e-105,ENSDARG00000033604,1.635057335002145e-40,ENSDARG00000035870,3.9283799001607606e-56,ENSDARG00000069521,3.369817548986254e-55,ENSDARG00000002967,3.8159772614882147e-109,ENSDARG00000038768,2.844551871387634e-219,ENSDARG00000019033,1.625336075591787e-27,ENSDARG00000054833,2.2174627530209855e-94,ENSDARG00000015495,1.3991448850852773e-73,ENSDARG00000055510,1.2029731273617251e-32,ENSDARG00000071046,1.6579811671449903e-228,ENSDARG00000045019,4.211478404978528e-28,ENSDARG00000018283,8.041361688875971e-67,ENSDARG00000045888,5.070591877120048e-29,ENSDARG00000042534,3.605365506716302e-34,ENSDARG00000019765,1.0405025542244549e-47,ENSDARG00000028957,2.7264032906111575e-29,ENSDARG00000074908,2.860685404115926e-38,ENSDARG00000023766,5.0390500288632904e-21,ENSDARG00000020448,7.152502321545816e-95,ENSDARG00000028957,9.579197924372898e-103,ENSDARG00000020301,3.054193115333841e-23,ENSDARG00000039757,1.0189016247602127e-19,ENSDARG00000025977,8.347753956692311e-12,ENSDARG00000045542,1.497437517926066e-12
62,ENSDARG00000071437,1.1207813169865036e-145,ENSDARG00000042864,0.0,ENSDARG00000018426,0.0,ENSDARG00000016239,1.2442337154900425e-307,ENSDARG00000055837,7.312829333850713e-171,ENSDARG00000057882,1.0055397124312415e-93,ENSDARG00000010784,3.3582905567045236e-97,ENSDARG00000102105,2.1241938933588777e-103,ENSDARG00000023003,2.2783116858866377e-39,ENSDARG00000013044,5.981223483890125e-56,ENSDARG00000012016,1.1607300018780163e-54,ENSDARG00000016687,1.3465997220185017e-108,ENSDARG00000029445,4.354730020418288e-219,ENSDARG00000061854,3.14451766436491e-27,ENSDARG00000086391,2.4613017139029355e-94,ENSDARG00000104495,2.303773053447166e-72,ENSDARG00000068262,2.4800724552082997e-32,ENSDARG00000056803,2.0211298041752108e-228,ENSDARG00000056903,4.405200503604967e-28,ENSDARG00000014366,1.5050531415821178e-66,ENSDARG00000024465,7.003226491073292e-29,ENSDARG00000006219,7.1419847251998495e-34,ENSDARG00000039915,1.142217133516864e-47,ENSDARG00000014013,1.1511585073959334e-28,ENSDARG00000056583,3.257524965544844e-38,ENSDARG00000102874,8.021350895456172e-21,ENSDARG00000031952,1.4620004619782895e-94,ENSDARG00000021973,1.655243384018547e-101,ENSDARG00000102100,6.225882258703671e-23,ENSDARG00000074201,2.34593413615442e-19,ENSDARG00000104495,9.313339345649537e-12,ENSDARG00000076836,1.7336857698936923e-12
63,ENSDARG00000012016,3.951878788841276e-145,ENSDARG00000063341,0.0,ENSDARG00000019924,0.0,ENSDARG00000007823,1.778306061629009e-305,ENSDARG00000027200,5.2436985110925454e-169,ENSDARG00000015495,3.4836733080400212e-93,ENSDARG00000053979,1.0433612017487736e-96,ENSDARG00000076074,5.796616280476103e-103,ENSDARG00000069360,2.5762850790786882e-39,ENSDARG00000037259,9.031295567935e-56,ENSDARG00000055751,2.0449651714245474e-53,ENSDARG00000054849,4.0556817347719635e-107,ENSDARG00000002710,5.1810681131483446e-219,ENSDARG00000103483,8.013760670317295e-27,ENSDARG00000104940,3.484876989631995e-94,ENSDARG00000043635,2.968154077945993e-71,ENSDARG00000086374,6.834947571914058e-32,ENSDARG00000054864,2.5547393685581113e-228,ENSDARG00000015495,7.0587375158382e-28,ENSDARG00000008447,5.001073824699603e-65,ENSDARG00000076554,1.2722672403146214e-28,ENSDARG00000030241,1.5931991638482344e-33,ENSDARG00000043465,1.280850735874631e-47,ENSDARG00000074667,1.3706908425944413e-28,ENSDARG00000045490,3.577136942348352e-38,ENSDARG00000043635,9.465146068566734e-21,ENSDARG00000104173,4.5549594714109264e-94,ENSDARG00000045180,2.1443343244488254e-101,ENSDARG00000010831,6.758304503332942e-23,ENSDARG00000094673,2.6687426914151415e-19,ENSDARG00000051957,1.020776043156661e-11,ENSDARG00000100515,2.1881599613900297e-12
64,ENSDARG00000040192,8.56069122154524e-145,ENSDARG00000006487,0.0,ENSDARG00000031981,0.0,ENSDARG00000018124,1.1632802579748518e-302,ENSDARG00000070386,1.8598303083447958e-168,ENSDARG00000057626,8.080095523355576e-93,ENSDARG00000058226,1.5830323279005967e-96,ENSDARG00000028889,3.3711284552309766e-102,ENSDARG00000044584,5.3758313007991635e-39,ENSDARG00000043287,1.3067267603153662e-55,ENSDARG00000005220,2.4416322450671157e-52,ENSDARG00000052712,2.019518662998743e-106,ENSDARG00000101560,6.821296080670528e-215,ENSDARG00000056410,3.1408669278712785e-26,ENSDARG00000074989,3.557904369789276e-94,ENSDARG00000057626,4.2303764354605515e-71,ENSDARG00000078653,9.270593735912343e-32,ENSDARG00000020679,3.166772587694681e-221,ENSDARG00000104726,8.95969115315602e-28,ENSDARG00000069464,1.3941653932888385e-63,ENSDARG00000045017,1.801767142780947e-28,ENSDARG00000098700,6.563219524754345e-33,ENSDARG00000041078,2.4574833258791627e-47,ENSDARG00000103145,4.374640632718219e-28,ENSDARG00000068156,4.209137149168333e-38,ENSDARG00000054849,1.3632648585382316e-20,ENSDARG00000004906,3.365459568862798e-93,ENSDARG00000024844,2.4497921539219674e-101,ENSDARG00000009657,8.636410347132832e-23,ENSDARG00000078653,2.9702760152916043e-19,ENSDARG00000092609,1.2110339006796215e-11,ENSDARG00000069521,2.3395074585889925e-12
65,ENSDARG00000033604,1.7884718566926415e-143,ENSDARG00000018124,0.0,ENSDARG00000091124,0.0,ENSDARG00000003153,7.885373371942272e-296,ENSDARG00000053129,8.78373079690433e-167,ENSDARG00000021905,1.1920672771583388e-91,ENSDARG00000023217,8.440919688950992e-96,ENSDARG00000075709,1.3381484334743967e-99,ENSDARG00000043465,9.25876984898812e-39,ENSDARG00000039346,1.909099872180695e-55,ENSDARG00000086471,3.734855751796308e-52,ENSDARG00000045490,1.1810372457087523e-104,ENSDARG00000061228,9.434949614647678e-215,ENSDARG00000068708,5.158318243520581e-26,ENSDARG00000039830,9.059655743332896e-94,ENSDARG00000057910,8.105908770905206e-71,ENSDARG00000101680,3.7040749350948113e-31,ENSDARG00000103980,1.2431354813008424e-220,ENSDARG00000037958,1.0143182464717242e-27,ENSDARG00000027063,1.515850017900863e-62,ENSDARG00000025554,4.112293846253259e-28,ENSDARG00000039273,8.37267447231588e-33,ENSDARG00000069422,2.6390718662170753e-47,ENSDARG00000054804,7.223792476417214e-28,ENSDARG00000043465,4.587411727797545e-38,ENSDARG00000037618,1.3710845816434367e-20,ENSDARG00000056627,4.484448518646061e-92,ENSDARG00000087554,4.5688440382813284e-101,ENSDARG00000036820,1.9845819971849086e-22,ENSDARG00000074989,3.017548765433325e-19,ENSDARG00000043635,1.2736556775668695e-11,ENSDARG00000039757,2.9431185807986105e-12
66,ENSDARG00000037958,2.965475069236506e-142,ENSDARG00000017084,0.0,ENSDARG00000011648,0.0,ENSDARG00000103145,4.563393139258917e-293,ENSDARG00000059298,2.8529939735849896e-163,ENSDARG00000045886,1.1460575263142766e-88,ENSDARG00000043287,3.8547650069628627e-95,ENSDARG00000038835,7.241085735958844e-99,ENSDARG00000035282,1.017940438144249e-38,ENSDARG00000078059,2.1196601791421784e-54,ENSDARG00000071586,3.878620761650056e-52,ENSDARG00000041065,1.941646029610067e-103,ENSDARG00000003526,3.1231448741374967e-214,ENSDARG00000025338,5.330868964895844e-26,ENSDARG00000030278,1.8573655388993306e-93,ENSDARG00000054849,1.1342869950856416e-70,ENSDARG00000068708,7.740686593459043e-31,ENSDARG00000035870,4.656375330340671e-219,ENSDARG00000042401,1.891382825202933e-27,ENSDARG00000003570,3.8591624664824926e-62,ENSDARG00000010784,7.411379466995822e-28,ENSDARG00000069360,1.7294639836520578e-32,ENSDARG00000023766,9.32713162317889e-47,ENSDARG00000104279,3.808495061215649e-27,ENSDARG00000071437,4.738053190954241e-38,ENSDARG00000091418,1.3989015250214732e-20,ENSDARG00000071573,1.5767400299372695e-90,ENSDARG00000008407,7.338093496265306e-101,ENSDARG00000071437,3.3197977106527537e-22,ENSDARG00000034718,3.317087199007308e-19,ENSDARG00000079688,1.4777777771642762e-11,ENSDARG00000038559,3.130551474838925e-12
67,ENSDARG00000102798,1.1681874207035052e-141,ENSDARG00000099453,0.0,ENSDARG00000020482,0.0,ENSDARG00000014571,2.747231656465365e-291,ENSDARG00000071046,2.0730156830473467e-161,ENSDARG00000019008,3.1824807269051312e-86,ENSDARG00000057626,7.672744402421314e-95,ENSDARG00000006290,1.9229283289318746e-97,ENSDARG00000015392,1.0833341220453539e-38,ENSDARG00000033596,3.276132307547583e-54,ENSDARG00000059836,1.1108990000493757e-51,ENSDARG00000007745,5.349311096965056e-102,ENSDARG00000087640,1.4187352777989374e-213,ENSDARG00000074989,6.156228374994442e-26,ENSDARG00000007405,2.921000662978589e-93,ENSDARG00000039543,2.229026918180584e-70,ENSDARG00000061854,1.3993478374427967e-30,ENSDARG00000001244,1.2051483613362274e-213,ENSDARG00000020454,3.2098350580887703e-27,ENSDARG00000100083,4.538369322428859e-62,ENSDARG00000030278,1.6080160802748436e-27,ENSDARG00000043287,1.7702547437049722e-32,ENSDARG00000009657,1.2912992135078705e-46,ENSDARG00000007823,4.0979960379956467e-26,ENSDARG00000030278,7.108244427842184e-38,ENSDARG00000015088,1.6948896403898088e-20,ENSDARG00000013075,2.4931922062918727e-90,ENSDARG00000005586,3.344371312992525e-100,ENSDARG00000043757,4.658481930806986e-22,ENSDARG00000059816,3.794449826791219e-19,ENSDARG00000007760,1.717054141875037e-11,ENSDARG00000054172,4.0531831166649296e-12
68,ENSDARG00000105009,1.9876444819342606e-141,ENSDARG00000004427,0.0,ENSDARG00000003526,0.0,ENSDARG00000039579,1.8102970933482188e-288,ENSDARG00000012144,3.439186347729234e-156,ENSDARG00000090194,4.8800453889096495e-85,ENSDARG00000043003,4.404478551109047e-94,ENSDARG00000060489,1.1775990440791585e-96,ENSDARG00000007405,4.0510402525704075e-38,ENSDARG00000011555,1.2454733326361856e-53,ENSDARG00000029072,3.083188697535346e-51,ENSDARG00000056307,1.4188960226182326e-101,ENSDARG00000023330,2.3927232288549112e-209,ENSDARG00000027200,1.4688576158992903e-25,ENSDARG00000056307,1.1908357131479287e-92,ENSDARG00000010784,7.027268304340602e-70,ENSDARG00000104889,6.466368662011085e-30,ENSDARG00000089877,4.121745453104815e-212,ENSDARG00000007377,6.665061634389441e-27,ENSDARG00000015759,8.792132997289408e-62,ENSDARG00000016733,2.5638400459589607e-27,ENSDARG00000056627,1.9282575138756856e-32,ENSDARG00000007405,1.3758512831231805e-46,ENSDARG00000043502,1.0932731287245868e-24,ENSDARG00000101306,8.263114805797118e-38,ENSDARG00000042332,2.237254319853691e-20,ENSDARG00000052615,5.340555627420314e-90,ENSDARG00000037188,9.627840320502075e-100,ENSDARG00000098114,8.11256370925922e-22,ENSDARG00000102599,5.141080365953846e-19,ENSDARG00000039915,1.8902830329630326e-11,ENSDARG00000005230,4.403983930281815e-12
69,ENSDARG00000078653,2.051329367809607e-141,ENSDARG00000016239,0.0,ENSDARG00000057414,0.0,ENSDARG00000004527,6.4447542550198385e-286,ENSDARG00000035870,1.2885766511202846e-154,ENSDARG00000103145,1.6868558391363019e-84,ENSDARG00000043635,5.080763195953136e-94,ENSDARG00000038643,1.7142190505905585e-96,ENSDARG00000010784,5.157784832845848e-38,ENSDARG00000044332,4.170048369070906e-53,ENSDARG00000091124,3.195708369161365e-50,ENSDARG00000007130,1.2548003917795135e-100,ENSDARG00000005926,7.029152224080747e-208,ENSDARG00000035282,2.5651832835378775e-25,ENSDARG00000098443,1.3937292379340918e-92,ENSDARG00000010717,2.6641441670512096e-69,ENSDARG00000033609,1.543059951232529e-29,ENSDARG00000103404,3.1543037684243886e-207,ENSDARG00000079848,1.4096445622552856e-26,ENSDARG00000014898,6.778029086532937e-61,ENSDARG00000074848,4.5997778524058e-27,ENSDARG00000010784,5.642903832390478e-32,ENSDARG00000041397,1.4963609320548468e-46,ENSDARG00000045843,8.156899970424678e-24,ENSDARG00000053405,1.1836441981829216e-37,ENSDARG00000077721,2.5650532821577804e-20,ENSDARG00000007863,1.6238610522904684e-89,ENSDARG00000036754,3.6483898356098205e-99,ENSDARG00000040890,9.875533515015693e-22,ENSDARG00000061436,7.66818150896662e-19,ENSDARG00000009350,2.0176523985392118e-11,ENSDARG00000037259,5.42164208683763e-12
70,ENSDARG00000043635,7.669705035568548e-141,ENSDARG00000052728,0.0,ENSDARG00000071573,0.0,ENSDARG00000016484,1.9246352260701866e-285,ENSDARG00000017093,1.9242667588784592e-153,ENSDARG00000086391,2.9373768279650326e-84,ENSDARG00000103483,2.662017194404516e-93,ENSDARG00000093448,1.7797047828025906e-96,ENSDARG00000069099,6.320590269809431e-38,ENSDARG00000090213,8.027884236206778e-53,ENSDARG00000038900,2.540874446112247e-49,ENSDARG00000098130,1.8592807016112623e-100,ENSDARG00000079111,2.0943958023448662e-204,ENSDARG00000030957,3.1183403730020886e-25,ENSDARG00000098761,1.559074275581092e-92,ENSDARG00000030087,2.204552233514839e-67,ENSDARG00000056099,3.18991020880426e-29,ENSDARG00000029510,1.51057199135598e-205,ENSDARG00000040890,2.6019066209554157e-26,ENSDARG00000043484,2.3577009266351773e-59,ENSDARG00000052966,6.632018013725025e-27,ENSDARG00000103483,1.1463758312540866e-31,ENSDARG00000058226,6.6629328171174596e-46,ENSDARG00000020261,1.8367259459231182e-23,ENSDARG00000028546,1.5171503552090735e-37,ENSDARG00000055510,4.0758549709100636e-20,ENSDARG00000022315,2.005418995055013e-89,ENSDARG00000071573,6.6371703915623446e-99,ENSDARG00000095627,1.024915805406108e-21,ENSDARG00000012450,7.775720500554863e-19,ENSDARG00000012915,2.6134954660631778e-11,ENSDARG00000014361,6.58624941602175e-12
71,ENSDARG00000010032,7.164595072631363e-139,ENSDARG00000068036,0.0,ENSDARG00000061228,0.0,ENSDARG00000020298,5.758818840565772e-282,ENSDARG00000026967,8.35348921538783e-152,ENSDARG00000056160,1.091723960677595e-83,ENSDARG00000102599,1.3148372745004936e-92,ENSDARG00000070824,2.2840117556344907e-96,ENSDARG00000019765,7.555232306927815e-38,ENSDARG00000023766,1.0863925485857142e-52,ENSDARG00000070686,4.128292364740554e-49,ENSDARG00000027825,4.882328365472958e-100,ENSDARG00000030038,1.8303114238442698e-203,ENSDARG00000027803,4.702904235605795e-25,ENSDARG00000023003,2.0095681332474326e-92,ENSDARG00000043287,2.6737223298106755e-67,ENSDARG00000030087,3.5563418025307124e-29,ENSDARG00000088091,1.2746128996825934e-200,ENSDARG00000043081,5.661206808135114e-26,ENSDARG00000040764,5.051213931360797e-58,ENSDARG00000086332,9.629452696953115e-27,ENSDARG00000016733,1.4409339737499964e-31,ENSDARG00000039719,7.046434100582128e-46,ENSDARG00000033609,4.988406175683417e-23,ENSDARG00000005359,1.6363239885582162e-37,ENSDARG00000053404,6.153260288777785e-20,ENSDARG00000098075,7.156232617352869e-89,ENSDARG00000020311,8.001519161568216e-98,ENSDARG00000015343,1.1509692825980207e-21,ENSDARG00000071437,8.426460647522365e-19,ENSDARG00000029100,2.6307850069686523e-11,ENSDARG00000012194,6.681390716432493e-12
72,ENSDARG00000016477,1.1631126999944472e-138,ENSDARG00000003308,0.0,ENSDARG00000028327,0.0,ENSDARG00000089413,4.1766694122809394e-280,ENSDARG00000069135,1.3744167569543808e-151,ENSDARG00000098443,1.1931752902968238e-82,ENSDARG00000016477,3.33817800800073e-91,ENSDARG00000043371,5.9295621506625e-96,ENSDARG00000015325,1.93711403779451e-37,ENSDARG00000029415,1.9204896497529554e-52,ENSDARG00000102640,4.224573002428029e-49,ENSDARG00000102874,1.0537983042522342e-99,ENSDARG00000045372,1.3255214667979357e-202,ENSDARG00000026068,6.70554782058101e-25,ENSDARG00000051888,2.4058286842014967e-91,ENSDARG00000016687,3.027108422458205e-67,ENSDARG00000040890,3.693003605919194e-29,ENSDARG00000045929,5.41063545627962e-197,ENSDARG00000020101,2.256037406795033e-25,ENSDARG00000018426,5.519765680721476e-58,ENSDARG00000008678,2.9768261944444643e-26,ENSDARG00000054292,1.5075089693936129e-31,ENSDARG00000002732,1.0048722849200449e-45,ENSDARG00000103483,1.2881247415592244e-22,ENSDARG00000043287,1.8907029014690565e-37,ENSDARG00000043287,6.266843444177122e-20,ENSDARG00000058062,1.4032340973653236e-88,ENSDARG00000027200,8.958330230677572e-98,ENSDARG00000052010,1.289362496861438e-21,ENSDARG00000095627,8.475166417189877e-19,ENSDARG00000091418,2.739870713403931e-11,ENSDARG00000098130,7.854674961681297e-12
73,ENSDARG00000038980,3.696374507736157e-138,ENSDARG00000015851,0.0,ENSDARG00000044669,0.0,ENSDARG00000101180,9.121201511977011e-277,ENSDARG00000022303,1.247611997021303e-145,ENSDARG00000041078,1.275864627521989e-81,ENSDARG00000009313,7.058762492581208e-91,ENSDARG00000091124,2.2634833419579957e-94,ENSDARG00000079688,3.0141877993219233e-37,ENSDARG00000007294,3.3148985998202273e-52,ENSDARG00000058593,4.397626529071185e-49,ENSDARG00000100515,2.0264694768648765e-99,ENSDARG00000007526,1.6718777128214527e-201,ENSDARG00000055876,1.9024764634854804e-24,ENSDARG00000045359,1.1289235540470555e-90,ENSDARG00000036820,5.272702677983314e-67,ENSDARG00000090213,4.802135859166343e-29,ENSDARG00000092124,1.3738805019916883e-196,ENSDARG00000056085,2.461364112400144e-25,ENSDARG00000053493,1.383287014582845e-57,ENSDARG00000015201,8.358961157701581e-26,ENSDARG00000089877,3.3324827199599815e-31,ENSDARG00000098935,2.178665289675742e-45,ENSDARG00000035625,3.3077383811989106e-22,ENSDARG00000015495,2.169628775647962e-37,ENSDARG00000030087,1.0649969941302487e-19,ENSDARG00000016871,6.004830625933579e-88,ENSDARG00000014366,7.196789354489582e-97,ENSDARG00000009087,1.2976478153623129e-21,ENSDARG00000102100,8.501227254134362e-19,ENSDARG00000038980,2.871965362987718e-11,ENSDARG00000025338,1.7584438944406505e-11
74,ENSDARG00000033539,5.25559879640806e-138,ENSDARG00000003526,0.0,ENSDARG00000012234,0.0,ENSDARG00000102417,1.9577453020566092e-274,ENSDARG00000078785,2.598635149370216e-144,ENSDARG00000053405,4.905314272740213e-81,ENSDARG00000007377,1.5481186455467537e-89,ENSDARG00000033735,7.160066421115518e-94,ENSDARG00000062479,3.376283278307797e-37,ENSDARG00000020301,2.5392301428803542e-51,ENSDARG00000087303,2.1495443234593576e-48,ENSDARG00000006219,5.950827129857749e-99,ENSDARG00000001760,5.832895962905236e-201,ENSDARG00000043287,2.643510992515002e-23,ENSDARG00000002165,2.522441934274761e-90,ENSDARG00000018002,7.769356944743425e-67,ENSDARG00000037965,7.265489652172834e-29,ENSDARG00000028396,3.2694176545651336e-194,ENSDARG00000090309,2.645616796532935e-25,ENSDARG00000028327,1.465118397692283e-52,ENSDARG00000056964,1.1206495871789175e-25,ENSDARG00000053405,4.345731963882539e-31,ENSDARG00000095627,3.7759024936066714e-45,ENSDARG00000038743,1.1431523332901688e-21,ENSDARG00000092954,4.729655411145188e-37,ENSDARG00000023003,1.1776339095862143e-19,ENSDARG00000026068,7.163985118776945e-88,ENSDARG00000037038,3.402203482803574e-96,ENSDARG00000086391,1.4378890449233584e-21,ENSDARG00000088040,1.1665011271094236e-18,ENSDARG00000040890,3.0119405442963155e-11,ENSDARG00000019444,1.8477641731236992e-11
75,ENSDARG00000026839,9.41935972756355e-138,ENSDARG00000104437,0.0,ENSDARG00000040251,0.0,ENSDARG00000038309,5.182651743649941e-271,ENSDARG00000037318,2.4437224703155204e-143,ENSDARG00000074989,9.131263310092243e-81,ENSDARG00000002732,2.0780189432409785e-89,ENSDARG00000102340,5.659795286966881e-93,ENSDARG00000045014,3.955813438565586e-37,ENSDARG00000078653,1.2232093737928556e-50,ENSDARG00000009881,3.0458254426875425e-48,ENSDARG00000070043,1.024835253934441e-98,ENSDARG00000058328,2.4187453480266084e-200,ENSDARG00000027825,3.97306262510551e-23,ENSDARG00000055064,1.0203456338463322e-89,ENSDARG00000023003,1.0375105100951726e-66,ENSDARG00000029415,7.953601939643592e-29,ENSDARG00000031228,2.5556011004814616e-191,ENSDARG00000039273,4.192560932025411e-25,ENSDARG00000074758,1.8939464424662946e-52,ENSDARG00000015757,1.9333877980987693e-25,ENSDARG00000054823,5.836750064328737e-31,ENSDARG00000003584,4.614920965563061e-45,ENSDARG00000044299,1.7811126155566724e-21,ENSDARG00000037618,1.6186308096104208e-36,ENSDARG00000008884,1.462185338326023e-19,ENSDARG00000101637,1.0612149054545822e-87,ENSDARG00000009106,6.59685088265569e-95,ENSDARG00000002732,2.170096873724649e-21,ENSDARG00000025522,1.400099436956236e-18,ENSDARG00000027418,3.1833116476755185e-11,ENSDARG00000037318,1.9338803128158535e-11
76,ENSDARG00000057910,5.12360644601338e-137,ENSDARG00000089413,0.0,ENSDARG00000007863,0.0,ENSDARG00000020261,2.9646740682030464e-270,ENSDARG00000010246,1.8098122648385555e-142,ENSDARG00000104708,2.1910334000438725e-80,ENSDARG00000052010,2.626524731288532e-88,ENSDARG00000001760,2.6715410602530842e-92,ENSDARG00000033596,1.1229736688561127e-36,ENSDARG00000068886,2.189734718181064e-50,ENSDARG00000095019,1.7335384572009966e-47,ENSDARG00000098700,9.755896819724252e-98,ENSDARG00000014898,6.6052440466171e-199,ENSDARG00000037965,8.05180307993019e-23,ENSDARG00000057910,1.738478159028573e-89,ENSDARG00000054907,1.323826195199482e-66,ENSDARG00000055837,2.106459552199673e-28,ENSDARG00000039980,5.198586901571387e-191,ENSDARG00000057624,4.865933553433188e-25,ENSDARG00000004706,1.368106167619755e-50,ENSDARG00000007405,2.429340391014754e-25,ENSDARG00000036481,1.641356583936309e-30,ENSDARG00000036820,4.9396009082394974e-45,ENSDARG00000043857,1.9733514698038252e-21,ENSDARG00000023766,2.078855288033272e-36,ENSDARG00000069048,1.640772834630768e-19,ENSDARG00000035882,6.991672909778399e-87,ENSDARG00000045372,8.229001232439386e-95,ENSDARG00000059933,2.725950411108369e-21,ENSDARG00000104110,1.4858885152743631e-18,ENSDARG00000024465,3.35386935544359e-11,ENSDARG00000005220,2.295029736385725e-11
77,ENSDARG00000098443,8.066239770792787e-137,ENSDARG00000059337,0.0,ENSDARG00000025375,0.0,ENSDARG00000069109,7.5266244553809825e-270,ENSDARG00000024846,6.337328370565407e-141,ENSDARG00000037618,1.2078630936699282e-79,ENSDARG00000054823,5.413012036871753e-88,ENSDARG00000032405,6.0193970736963345e-92,ENSDARG00000040443,2.747981021957169e-36,ENSDARG00000069360,2.9634292217998324e-50,ENSDARG00000054793,1.9984573816420682e-47,ENSDARG00000068886,3.2749660877725996e-97,ENSDARG00000020015,4.699895010977501e-197,ENSDARG00000026369,1.7432738873643897e-22,ENSDARG00000061436,1.9950517766406737e-89,ENSDARG00000071437,5.3462130070251e-66,ENSDARG00000010784,2.755395546373399e-28,ENSDARG00000014366,2.982257956927847e-188,ENSDARG00000102874,5.848028156814405e-25,ENSDARG00000069361,3.9940958336687113e-50,ENSDARG00000053405,6.255269262351018e-25,ENSDARG00000015201,3.0704249808106816e-30,ENSDARG00000104413,8.041883105139373e-45,ENSDARG00000070822,3.360937907980175e-21,ENSDARG00000038075,2.2507845383443902e-36,ENSDARG00000104889,3.477707852139293e-19,ENSDARG00000003308,2.199212525722648e-84,ENSDARG00000057414,3.4804030664603795e-94,ENSDARG00000057626,3.6174141143356345e-21,ENSDARG00000043465,1.6142817653618878e-18,ENSDARG00000086332,3.971296226193726e-11,ENSDARG00000038028,2.8489714447270745e-11
78,ENSDARG00000021905,9.202172607149307e-136,ENSDARG00000078500,0.0,ENSDARG00000015759,0.0,ENSDARG00000029072,2.1103124940057978e-269,ENSDARG00000041078,4.316623856941432e-139,ENSDARG00000009657,1.4635831125213338e-79,ENSDARG00000071437,3.2732216237941303e-85,ENSDARG00000063341,1.9413133881993925e-91,ENSDARG00000036995,9.046343433253374e-35,ENSDARG00000041363,3.87266168685437e-50,ENSDARG00000043502,5.355518736405252e-46,ENSDARG00000045017,1.78841548185054e-95,ENSDARG00000006487,4.9406856578885986e-197,ENSDARG00000069090,1.904909206221103e-22,ENSDARG00000053405,4.14778624831535e-89,ENSDARG00000016864,8.25976176589525e-65,ENSDARG00000027734,5.330728085779606e-28,ENSDARG00000021405,3.1996512029576964e-186,ENSDARG00000001734,1.3911278450228866e-24,ENSDARG00000104173,7.888480686399303e-50,ENSDARG00000045402,6.350768577170048e-25,ENSDARG00000058226,6.546053268906144e-30,ENSDARG00000075014,1.3223785385572145e-44,ENSDARG00000020007,1.847233808160377e-19,ENSDARG00000036820,3.234785150194328e-36,ENSDARG00000021343,3.853191500674408e-19,ENSDARG00000020311,1.1370888384654343e-83,ENSDARG00000045542,5.413076361171843e-94,ENSDARG00000053405,5.595487253511374e-21,ENSDARG00000007804,1.7526653089724675e-18,ENSDARG00000068156,4.138277529001405e-11,ENSDARG00000007745,3.7833557070610514e-11
