,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p
32,WBGene00009082,2.0306959093683494e-99,WBGene00004489,3.606347668373434e-33,WBGene00018090,2.25660308499659e-28,WBGene00006772,3.829095166803527e-64,WBGene00008480,3.2846264693809283e-72,WBGene00002192,1.960529620717095e-120,WBGene00004409,7.603833039855226e-98,WBGene00000158,4.95414209764824e-32,WBGene00002632,2.0671072159702184e-140,WBGene00013667,1.0096625374495692e-17,WBGene00001844,5.042803538240345e-13,WBGene00000939,1.0060197009744854e-23,WBGene00008919,6.537186458102715e-08,WBGene00000565,2.0290301536918505e-14,WBGene00019944,4.760627749139984e-06,WBGene00019365,2.1210659258710247e-79,WBGene00006373,3.640677392552944e-17,WBGene00015344,2.1510203875500274e-06,WBGene00002250,0.0002186646077518893,WBGene00007242,2.550535224750788e-27,WBGene00006746,2.177311765869346e-10,WBGene00006697,1.063571631171861e-10
33,WBGene00019620,2.653275596580844e-98,WBGene00018090,4.89238045783316e-31,WBGene00019944,2.174265760289327e-27,WBGene00020441,9.599972129675242e-64,WBGene00004458,3.371073430117134e-72,WBGene00020556,9.364078432302827e-120,WBGene00004444,1.2416448245922249e-96,WBGene00013223,8.471921900184615e-32,WBGene00009120,4.19013096109807e-140,WBGene00009674,1.622637416955455e-17,WBGene00002250,5.152289611208737e-13,WBGene00006920,1.1124644348215563e-23,WBGene00000879,7.78796374606701e-08,WBGene00005663,2.174763753899886e-14,WBGene00009285,5.235944965473077e-06,WBGene00004679,2.833712182808963e-79,WBGene00003925,7.180359766801132e-17,WBGene00014202,2.1605855370166997e-06,WBGene00018872,0.00025127708775960454,WBGene00004215,5.156873574484554e-27,WBGene00012376,3.929210012519227e-10,WBGene00006751,4.2380987141418794e-10
34,WBGene00019890,1.4732572999034197e-97,WBGene00004440,1.8514861339472925e-30,WBGene00003148,3.076211415100931e-26,WBGene00011638,1.039733197808715e-63,WBGene00009584,5.860494604867805e-72,WBGene00013666,2.914751440590734e-119,WBGene00004486,3.523147041015212e-96,WBGene00013124,4.707850284296106e-31,WBGene00003400,5.664490539708461e-140,WBGene00020114,2.3033982093891204e-17,WBGene00004271,8.126403494484708e-13,WBGene00003156,1.2048998420179084e-23,WBGene00021697,9.133792794877749e-08,WBGene00001101,2.2602969440568492e-14,WBGene00003951,8.210892671380094e-06,WBGene00012829,8.313979905191276e-79,WBGene00006777,9.586604750604054e-17,WBGene00004389,2.5338185896786332e-06,WBGene00013577,0.00025577569392589935,WBGene00000776,7.106720767753644e-27,WBGene00011953,6.378204667066356e-10,WBGene00019883,4.2465912823828755e-10
35,WBGene00014119,5.510702279588074e-96,WBGene00004343,3.2972865190062e-30,WBGene00021697,5.347529047128136e-26,WBGene00000381,4.1063792792726793e-63,WBGene00012341,7.372662397331869e-72,WBGene00015156,1.2044272036984021e-118,WBGene00020297,1.5799181695047862e-94,WBGene00006812,9.621308717264734e-31,WBGene00009740,5.906987645510232e-140,WBGene00004980,3.341545460685875e-17,WBGene00011953,9.81133617800536e-13,WBGene00004076,2.423903977342918e-23,WBGene00001042,1.5456447511566662e-07,WBGene00004259,2.3793599433685172e-14,WBGene00004482,1.0288068098090372e-05,WBGene00009976,1.1123444304765564e-78,WBGene00008143,1.7830304167701408e-16,WBGene00012337,2.615937217395765e-06,WBGene00003086,0.0002732360035014491,WBGene00003166,8.772737450799137e-27,WBGene00002583,6.698275207037409e-10,WBGene00004389,4.812032463371803e-10
36,WBGene00016583,7.575279334499037e-96,WBGene00001843,1.894923214266455e-29,WBGene00000879,1.0143256039803529e-25,WBGene00004749,6.351737324540198e-62,WBGene00010896,1.2181287834539507e-71,WBGene00000542,1.4152799087266373e-116,WBGene00004410,1.839784135914585e-94,WBGene00013667,4.2168261942534414e-30,WBGene00000876,6.743082086212083e-140,WBGene00006772,3.540311711819616e-17,WBGene00006933,1.806170540036435e-12,WBGene00001130,2.5772252940611316e-23,WBGene00002191,1.8258804618153335e-07,WBGene00003825,2.6241296439113374e-14,WBGene00012005,1.4996032713954746e-05,WBGene00014120,1.1724710921796175e-78,WBGene00003062,5.021712689120301e-16,WBGene00000367,2.635684090696885e-06,WBGene00003243,0.00028493485263097264,WBGene00008919,3.581234810062495e-26,WBGene00000294,6.987433710648357e-10,WBGene00003930,7.076198155004123e-10
37,WBGene00021831,9.674339249956039e-96,WBGene00004445,2.0294513968790359e-29,WBGene00004410,1.0355930598815092e-25,WBGene00000182,4.0621232814285746e-61,WBGene00001025,3.82698619810551e-71,WBGene00006773,1.1320219632444476e-115,WBGene00013680,6.746461614129487e-93,WBGene00019305,5.764574770094528e-30,WBGene00013168,3.8562520961022284e-139,WBGene00010130,9.769704961325225e-17,WBGene00019944,1.9186901445662646e-12,WBGene00016889,2.8988341500967e-23,WBGene00018131,2.0179391735156135e-07,WBGene00000367,2.6768991678111528e-14,WBGene00009177,1.5197514529991149e-05,WBGene00013804,2.9085681166613873e-78,WBGene00020111,8.466157015098751e-16,WBGene00012386,2.945444919141786e-06,WBGene00018734,0.000289265755336944,WBGene00004881,4.2250157565153116e-26,WBGene00004076,9.50949884523459e-10,WBGene00012341,7.80643677467609e-10
38,WBGene00004980,2.660915377348341e-95,WBGene00013042,5.367940243471781e-29,WBGene00020779,2.5708946207766846e-25,WBGene00020391,7.075504333991102e-60,WBGene00012813,3.983790921346452e-71,WBGene00015691,1.8753764594371827e-114,WBGene00004390,1.3888123379849745e-89,WBGene00000403,1.1275512431296277e-29,WBGene00000281,5.807049521815727e-138,WBGene00018734,1.1873190633238926e-16,WBGene00020268,1.9860305630161636e-12,WBGene00016117,3.2008884522121817e-23,WBGene00000814,3.4530015090536103e-07,WBGene00010896,3.8447220018864906e-14,WBGene00002004,1.6376759450284968e-05,WBGene00015219,3.386825033403225e-78,WBGene00013028,9.991370128209578e-16,WBGene00019018,3.0768361200328277e-06,WBGene00018426,0.00032877169226838265,WBGene00019365,5.174825835006759e-26,WBGene00015778,9.954638353212778e-10,WBGene00003258,7.868863746287977e-10
39,WBGene00003953,8.67127780922913e-94,WBGene00000112,7.354750518875895e-29,WBGene00004454,7.805396253188411e-25,WBGene00021466,2.029033101459409e-57,WBGene00007683,4.809553752796424e-71,WBGene00020146,2.6679160484124804e-112,WBGene00001042,4.427967759796309e-89,WBGene00003567,3.4478249431658047e-29,WBGene00011814,8.841667110904477e-138,WBGene00000367,1.316421073315917e-16,WBGene00004358,2.2850827564345598e-12,WBGene00006697,4.124960267131491e-23,WBGene00013042,5.416375839255153e-07,WBGene00016889,5.4456852182260236e-14,WBGene00020216,2.0408850712386916e-05,WBGene00006843,4.1118204168750273e-78,WBGene00002191,1.0993236940945585e-15,WBGene00016393,3.2261404300658503e-06,WBGene00003916,0.00036413452103365346,WBGene00003172,5.255363453699571e-26,WBGene00000292,1.1149204662745433e-09,WBGene00006812,7.919756272929848e-10
40,WBGene00004109,1.9452596447409406e-93,WBGene00013680,7.822727463371691e-29,WBGene00004485,1.6259460211685812e-24,WBGene00011306,4.3351575062634665e-57,WBGene00003156,6.650438396545274e-71,WBGene00021355,2.9480406595838953e-110,WBGene00004454,5.723771590058985e-87,WBGene00021753,3.530102579892603e-29,WBGene00004884,2.0787510077816417e-137,WBGene00001130,1.6723572137556202e-16,WBGene00000102,2.807494078347388e-12,WBGene00001025,4.621831874990447e-23,WBGene00002025,6.948130402303974e-07,WBGene00006920,7.412171877039022e-14,WBGene00002850,2.2155934094210296e-05,WBGene00011106,5.653410961558782e-78,WBGene00021320,1.445238437434337e-15,WBGene00004076,4.437717086837401e-06,WBGene00003156,0.000398638586347064,WBGene00010813,1.038959040789384e-25,WBGene00002344,1.2652280699461028e-09,WBGene00020216,8.681966510926548e-10
41,WBGene00015146,1.974037095305848e-93,WBGene00009084,1.037145954897424e-28,WBGene00004438,3.397645049898247e-24,WBGene00000378,9.017423715294828e-56,WBGene00010641,8.323430772009386e-71,WBGene00011884,3.622877919477013e-110,WBGene00004187,3.394910179386481e-85,WBGene00008685,9.497945298132409e-29,WBGene00012359,4.500901020157031e-137,WBGene00006812,2.0412049491516108e-16,WBGene00004463,6.7653990353662295e-12,WBGene00004245,5.860849198017065e-23,WBGene00012005,8.970381837148898e-07,WBGene00001258,7.530760707605687e-14,WBGene00004441,2.394951096213604e-05,WBGene00016957,1.8216120977260702e-77,WBGene00002694,1.8675320556554892e-15,WBGene00003053,4.456675607866509e-06,WBGene00013034,0.00045792805983630423,WBGene00004121,1.4079709390311926e-25,WBGene00002980,2.0734258203386096e-09,WBGene00044077,9.946479337305566e-10
