,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p
26,WBGene00002176,1.1010610391267398e-45,WBGene00006766,2.1856700508542285e-85,WBGene00014261,5.13369252771999e-104,WBGene00012203,3.159995094797313e-69,WBGene00022240,9.743060363992913e-57,WBGene00004913,4.5289555429709746e-24,WBGene00002229,1.591973239478015e-141,WBGene00017686,2.9574806866541774e-64,WBGene00011975,9.351685658613563e-137,WBGene00016562,2.6990578667980963e-139,WBGene00003570,1.5793190556512324e-17,WBGene00014249,7.667777671523305e-47,WBGene00006887,5.042588137280411e-174,WBGene00010665,2.1873889803331147e-27,WBGene00000479,1.6127719972713017e-52,WBGene00011480,5.410482974620518e-89,WBGene00012015,8.46043315943221e-28,WBGene00019205,2.978659178739531e-26,WBGene00022119,1.2300146078221176e-46,WBGene00022240,1.6122617830476454e-13,WBGene00007463,2.761611276200695e-13,WBGene00003172,4.17131090419449e-46,WBGene00012019,1.6562820112923882e-23,WBGene00010676,9.005472942180421e-11,WBGene00004759,2.0813183243617283e-05,WBGene00012769,1.6287720221808604e-08,WBGene00006590,1.1551238628313481e-06
27,WBGene00002078,1.3071635525196629e-45,WBGene00014261,7.13739213918468e-83,WBGene00015778,8.088440110172162e-102,WBGene00020146,9.115047106303406e-69,WBGene00018304,5.33620063330097e-56,WBGene00006783,8.818751199743604e-24,WBGene00017855,4.7555945197501464e-139,WBGene00019168,7.283095938896089e-64,WBGene00016583,2.636255184895675e-136,WBGene00010629,6.11695119480818e-138,WBGene00006783,1.6588553867555464e-17,WBGene00018836,4.131475991287074e-46,WBGene00007050,2.4192077196851735e-173,WBGene00006975,4.726623675154402e-27,WBGene00001263,5.855814293430795e-52,WBGene00011503,6.145514059851809e-89,WBGene00001512,8.775135214867913e-28,WBGene00017864,2.3659316809586418e-25,WBGene00004039,1.4635004289174823e-46,WBGene00006756,2.2544343845973622e-13,WBGene00001629,1.4432151098073245e-12,WBGene00006407,4.281188811877615e-46,WBGene00000102,3.0641702996076227e-23,WBGene00009262,1.2546523686989694e-10,WBGene00001082,2.122098081668561e-05,WBGene00004762,1.8895379655246093e-08,WBGene00020273,1.3888071128448943e-06
28,WBGene00000096,1.0997190631890078e-44,WBGene00006790,2.0946225459548156e-82,WBGene00002497,6.505237838423614e-101,WBGene00015814,9.122414814175099e-67,WBGene00019185,6.642956668765513e-56,WBGene00004950,1.0714391947512014e-23,WBGene00015635,2.328972248398366e-138,WBGene00009671,1.9930776777128076e-63,WBGene00017605,1.440947623231455e-133,WBGene00017777,1.060460239838087e-137,WBGene00021528,2.4369122451223812e-17,WBGene00001526,1.5862108865885136e-45,WBGene00002010,2.94978215047324e-171,WBGene00019698,1.8299843334409443e-26,WBGene00004186,1.2627258149531384e-51,WBGene00002247,2.530968259629633e-88,WBGene00015344,1.0931196791074819e-27,WBGene00013925,2.3816919024030483e-25,WBGene00022401,1.093166512461106e-45,WBGene00022199,4.614499514379766e-13,WBGene00001745,3.0949225903676742e-12,WBGene00021927,5.1058713349396e-46,WBGene00006999,1.562699228811373e-22,WBGene00004143,1.3769322728092943e-10,WBGene00009784,2.3990390701362097e-05,WBGene00000377,1.9552014640809786e-08,WBGene00012894,1.4631316577539455e-06
29,WBGene00017075,1.5832479461060316e-44,WBGene00001248,2.6956949871400415e-81,WBGene00009531,9.89827427615942e-95,WBGene00001629,2.6219121397787706e-63,WBGene00000367,8.730040248797062e-55,WBGene00018398,1.0835576862654556e-23,WBGene00018769,5.239896470561114e-138,WBGene00013038,8.567348056994224e-63,WBGene00009671,2.0475986358940617e-133,WBGene00022378,4.410039855582649e-137,WBGene00017864,3.118801045886217e-17,WBGene00004759,2.698691826898583e-43,WBGene00003149,3.1510929765668563e-171,WBGene00017605,3.8216240499824667e-26,WBGene00017605,2.401386964297244e-51,WBGene00001510,2.860009147785244e-88,WBGene00020130,1.7991248860509382e-26,WBGene00004213,9.295340178899713e-25,WBGene00004321,6.24198894079809e-45,WBGene00000476,6.178520834063461e-13,WBGene00011884,3.729262075544809e-12,WBGene00020562,6.821590762561859e-46,WBGene00001196,2.4634372077049705e-22,WBGene00009126,1.396710253257979e-10,WBGene00020562,2.5141139395344868e-05,WBGene00008601,2.0180472949826362e-08,WBGene00021698,1.5290504962501884e-06
30,WBGene00022501,3.159698047600299e-44,WBGene00004830,1.5900723092753789e-80,WBGene00006970,2.202522062991541e-88,WBGene00001078,7.099884710659588e-62,WBGene00000102,1.2469723516105299e-53,WBGene00006766,1.870073040007175e-23,WBGene00001815,1.5370429008604561e-137,WBGene00004315,3.1330598862148104e-62,WBGene00015581,6.0865059115247146e-133,WBGene00011975,1.2430264599215395e-136,WBGene00018075,3.1980420743315376e-17,WBGene00000039,9.339404231815135e-42,WBGene00012033,2.3170526272833877e-169,WBGene00004458,6.037047176312134e-26,WBGene00004700,2.9643348152707933e-51,WBGene00000232,1.9280603950193344e-85,WBGene00003570,3.485943073749782e-26,WBGene00006796,3.7028756248713235e-24,WBGene00020902,5.144039229319821e-44,WBGene00014261,8.290435266827976e-13,WBGene00013869,1.174433167297825e-11,WBGene00017724,6.916800096189482e-46,WBGene00009920,1.5449739894646852e-21,WBGene00017098,1.750154476896936e-10,WBGene00020556,2.817158219965068e-05,WBGene00004203,2.1157451728055583e-08,WBGene00003036,1.5376684071081864e-06
31,WBGene00006796,3.4797334024883685e-44,WBGene00000096,2.8089612879032695e-75,WBGene00011232,1.8271100374671145e-87,WBGene00000092,2.1020658757015772e-61,WBGene00009100,2.758892600768497e-53,WBGene00015418,2.352944372861004e-23,WBGene00012936,2.28528646659593e-137,WBGene00004782,1.704878678220438e-61,WBGene00001815,1.3389717349950805e-132,WBGene00006961,8.466926804210344e-136,WBGene00019890,3.432797740758052e-17,WBGene00015779,1.846901581798882e-41,WBGene00001029,6.509735335414194e-168,WBGene00003738,8.053573683704588e-26,WBGene00007042,3.956866948256281e-51,WBGene00000158,1.298272717906606e-83,WBGene00020443,3.5004711888655406e-26,WBGene00004364,6.049834293612855e-24,WBGene00018520,1.0164275099554053e-43,WBGene00006811,2.4044607143111904e-12,WBGene00004458,1.482986115926522e-11,WBGene00001329,1.1380752220556364e-44,WBGene00002178,4.225435326103976e-21,WBGene00014165,2.342464078024256e-10,WBGene00000292,2.8365251516117622e-05,WBGene00008800,2.2446180791009304e-08,WBGene00018008,1.6722866844088057e-06
32,WBGene00006766,4.2429545956311993e-44,WBGene00018639,2.901850774592578e-75,WBGene00003930,8.436828334572272e-83,WBGene00014215,1.10947542963136e-60,WBGene00018639,5.8486305470856295e-52,WBGene00001526,5.647538266315989e-23,WBGene00000479,3.535157118185524e-137,WBGene00011696,1.111376957453325e-59,WBGene00001094,3.56325444423866e-132,WBGene00004203,1.8248265134418398e-135,WBGene00022240,6.137478060712828e-17,WBGene00010317,2.333221243145447e-41,WBGene00004213,2.539984504647155e-162,WBGene00001994,7.5593711274274155e-25,WBGene00003930,6.844243787889939e-51,WBGene00002039,2.6068856905331564e-79,WBGene00018398,8.017830753995947e-26,WBGene00017724,3.279932348697808e-23,WBGene00000292,1.951103653777545e-41,WBGene00002176,2.479072989716226e-12,WBGene00010842,2.4061985594156733e-11,WBGene00003675,1.7036431293719338e-44,WBGene00011760,7.912413195210099e-21,WBGene00015752,2.7754609727079086e-10,WBGene00011815,3.0118983149821725e-05,WBGene00004760,2.6621459672500622e-08,WBGene00019890,1.8237009599651275e-06
33,WBGene00003788,2.9042812644790758e-43,WBGene00018304,1.5497795419365306e-74,WBGene00006508,8.946320438794555e-80,WBGene00006508,1.3711864942842288e-60,WBGene00006811,1.8052010162592996e-50,WBGene00000476,2.243985019904592e-22,WBGene00009574,1.4002731197417002e-135,WBGene00004166,3.873906059635508e-59,WBGene00003132,7.743550202586504e-132,WBGene00017066,5.048624748680191e-135,WBGene00006970,1.613701147519948e-16,WBGene00004854,4.856344891507906e-41,WBGene00002039,7.433930988050333e-161,WBGene00003162,1.0888954402008312e-24,WBGene00002010,1.6943746843515723e-50,WBGene00000082,2.6641958234045447e-74,WBGene00004793,8.532403165883346e-26,WBGene00000476,4.838561460484373e-23,WBGene00014095,3.081153478168659e-41,WBGene00006823,4.030299702612398e-12,WBGene00004755,2.5945008543724265e-11,WBGene00016245,2.106127262705553e-43,WBGene00012193,1.2400792334115036e-20,WBGene00022148,2.941716130409533e-10,WBGene00000162,3.0368517202220838e-05,WBGene00010676,2.736106958734387e-08,WBGene00004782,1.8766016216541682e-06
34,WBGene00017797,3.025060249231613e-43,WBGene00000518,7.727057602578986e-74,WBGene00009920,9.782774501777144e-79,WBGene00001680,1.0899979138268066e-59,WBGene00004758,2.3322209396866276e-50,WBGene00003776,6.14094149437359e-22,WBGene00012097,1.9240581413256346e-135,WBGene00010231,1.4467407799459539e-58,WBGene00022046,7.838863550411664e-132,WBGene00004186,6.952612573289582e-135,WBGene00017480,2.1795234078836604e-16,WBGene00003911,1.1423587238702261e-40,WBGene00018769,2.5932420093057172e-155,WBGene00000542,2.666684713970251e-24,WBGene00006784,2.38300353451127e-50,WBGene00018734,4.702408725626775e-73,WBGene00022389,1.3792410848412456e-25,WBGene00004913,6.129167531325387e-23,WBGene00004458,1.4875610630737602e-40,WBGene00004719,5.05268667866339e-12,WBGene00020437,2.7193749688235994e-11,WBGene00006787,3.3764304417518703e-43,WBGene00003162,2.655184021545172e-20,WBGene00006776,3.9924988933791856e-10,WBGene00003911,3.1596567340586396e-05,WBGene00003025,2.99880166778087e-08,WBGene00022296,1.893680664141514e-06
35,WBGene00018639,7.44942331742969e-43,WBGene00003176,7.036843000011735e-71,WBGene00006787,6.494376199402406e-77,WBGene00006601,5.845608449947452e-56,WBGene00004830,2.446779217969306e-50,WBGene00006798,1.175872444432809e-21,WBGene00020017,2.3227914806176788e-135,WBGene00015635,3.136223073035784e-58,WBGene00017004,1.2855065219986386e-130,WBGene00000872,1.0750046101086202e-134,WBGene00022037,8.63875224613494e-16,WBGene00008876,1.3240448845782505e-40,WBGene00019890,6.687625616771529e-155,WBGene00015344,2.781541320421211e-24,WBGene00017066,3.20213391323102e-50,WBGene00006789,1.3507458618217685e-68,WBGene00001025,1.6487043428612315e-25,WBGene00000161,9.28353927555392e-23,WBGene00009264,1.5169166570973504e-40,WBGene00003176,5.429944284113741e-12,WBGene00004025,3.1989077018496845e-11,WBGene00020530,4.051434513892801e-43,WBGene00012128,1.5982796359387715e-19,WBGene00022603,4.093733382997558e-10,WBGene00009996,3.691886162478793e-05,WBGene00006352,3.251395223177882e-08,WBGene00001226,1.990548266512842e-06
36,WBGene00003397,9.644252653292696e-43,WBGene00000476,2.0566496532949455e-68,WBGene00008443,1.1924405758718089e-75,WBGene00008852,1.5491606162436359e-55,WBGene00016977,3.134247830664017e-50,WBGene00006818,2.1047014144235824e-21,WBGene00014243,6.621642776189566e-134,WBGene00009460,7.052234211330737e-58,WBGene00022378,2.597781869435733e-130,WBGene00017686,2.1096502116223938e-134,WBGene00015512,8.890947022877776e-16,WBGene00001851,1.6145400988923987e-40,WBGene00010406,8.329253333127214e-155,WBGene00008452,3.961541101961707e-24,WBGene00007055,3.989517364995228e-50,WBGene00003567,1.1872320854526367e-66,WBGene00012005,3.570712792528014e-25,WBGene00019185,1.3240901604867827e-22,WBGene00018161,3.6256811663446244e-40,WBGene00003931,1.030186214275302e-11,WBGene00015779,3.993322767140383e-11,WBGene00003596,1.6355148919806886e-42,WBGene00022199,2.6724697066919766e-19,WBGene00012769,5.37172145724135e-10,WBGene00021629,3.8058360153337784e-05,WBGene00012376,3.6743284580047366e-08,WBGene00009671,2.089264069184611e-06
37,WBGene00000476,2.001818666169807e-42,WBGene00022199,6.117772390449099e-66,WBGene00006811,7.940050508945477e-74,WBGene00009500,1.784691653574565e-55,WBGene00000518,5.619350494002243e-50,WBGene00020735,2.5104779595152572e-21,WBGene00006321,8.677570621596987e-134,WBGene00002201,1.3710332147582997e-57,WBGene00004203,6.506654578309858e-130,WBGene00010785,2.2591126318491555e-134,WBGene00012015,9.185507518714346e-16,WBGene00015632,4.276210857240166e-40,WBGene00008800,2.467828918871578e-153,WBGene00008386,1.1877816549771121e-23,WBGene00001226,4.163488152842833e-50,WBGene00004760,3.548422522444058e-66,WBGene00011304,8.354020600739609e-25,WBGene00003182,1.7005261709715973e-22,WBGene00000114,1.3021771086595168e-39,WBGene00000096,2.4869206788841374e-11,WBGene00020130,4.3556907263481596e-11,WBGene00006745,1.7018882585847815e-42,WBGene00016977,2.7235247071050716e-19,WBGene00007186,5.525494380602139e-10,WBGene00006751,3.8343017543405736e-05,WBGene00011966,4.308000544831917e-08,WBGene00015125,2.1140569284466572e-06
38,WBGene00014261,2.1890119417145296e-41,WBGene00006746,4.229499472130751e-64,WBGene00006517,2.263168371776175e-73,WBGene00022518,2.4313638355533665e-55,WBGene00017063,1.2709581683045513e-48,WBGene00001248,3.133519694179839e-21,WBGene00008480,9.024671088606513e-134,WBGene00012936,2.61818095385722e-57,WBGene00011050,7.601663293989996e-130,WBGene00017025,2.3149884362300403e-134,WBGene00004213,1.0049136175650526e-15,WBGene00003929,4.769613812013939e-40,WBGene00002223,1.5878105188296188e-151,WBGene00000482,3.2396209395476317e-23,WBGene00004760,6.01913963968242e-50,WBGene00002035,2.248084682971032e-63,WBGene00001210,8.50057599112944e-25,WBGene00001224,3.400028929140647e-22,WBGene00000836,1.7101922522777078e-39,WBGene00009116,3.4662741017941856e-11,WBGene00020208,5.1989159743930776e-11,WBGene00021327,6.719508101236999e-42,WBGene00006780,1.4753835750410937e-18,WBGene00022296,7.437482263302439e-10,WBGene00022401,4.45969022515947e-05,WBGene00001793,4.7502115262967405e-08,WBGene00001094,2.190648314160528e-06
39,WBGene00013128,1.400060880361723e-40,WBGene00009116,7.235909601322907e-63,WBGene00015779,6.705223232000454e-73,WBGene00000591,4.0795040796103444e-54,WBGene00004184,1.0674692936106262e-47,WBGene00008018,4.656149652413463e-21,WBGene00004873,6.61769493659688e-133,WBGene00017797,2.019294252141652e-55,WBGene00001226,1.6835383947302524e-129,WBGene00022048,4.530133627874649e-134,WBGene00016393,1.2459963605480974e-15,WBGene00020509,9.225982679709594e-40,WBGene00007591,3.017428864373807e-150,WBGene00004736,3.6706936426158446e-23,WBGene00019940,6.965723822628942e-50,WBGene00006923,1.0650896180674788e-62,WBGene00007287,1.1258296118380465e-24,WBGene00006601,1.5490738030052848e-21,WBGene00006497,2.4793211288969513e-39,WBGene00006746,6.541220258519342e-11,WBGene00003247,6.030456357589495e-11,WBGene00020719,1.0048169810468907e-41,WBGene00013869,1.6845479366861216e-18,WBGene00000872,8.743560448845769e-10,WBGene00016245,5.104836974044071e-05,WBGene00011897,4.967006144317539e-08,WBGene00015691,2.2176187729980107e-06
40,WBGene00018304,2.2903032656607442e-40,WBGene00013326,2.1138224308134722e-60,WBGene00019207,1.32457778317079e-72,WBGene00017144,4.314800505468908e-54,WBGene00004913,1.5140376467085255e-47,WBGene00044061,1.0095166552734314e-20,WBGene00004782,1.805890343602132e-132,WBGene00014218,4.102346665887079e-55,WBGene00016739,1.6896172689438165e-129,WBGene00004315,6.243950561350531e-134,WBGene00001163,1.3976706852410792e-15,WBGene00005019,4.939416189620587e-39,WBGene00001227,1.6821377105230776e-149,WBGene00021800,1.1304330088756214e-21,WBGene00001259,1.471764250846004e-49,WBGene00010045,1.2844874838814966e-59,WBGene00016405,2.2695429819218158e-24,WBGene00021927,3.369529063499178e-21,WBGene00004186,6.733237810899878e-39,WBGene00009478,7.073706312009049e-11,WBGene00013732,1.215367121992392e-10,WBGene00019205,2.2719869290629951e-41,WBGene00006831,2.740198373396972e-18,WBGene00006324,1.0519377789514307e-09,WBGene00002175,5.5111401897125654e-05,WBGene00006975,8.517927454005902e-08,WBGene00003162,2.2662393531864844e-06
41,WBGene00007067,4.876722609546132e-40,WBGene00000092,9.313259580481957e-56,WBGene00000229,1.703596423393517e-70,WBGene00000073,3.8274154269349158e-53,WBGene00000096,2.5436119873075466e-47,WBGene00018467,1.2998360606657942e-20,WBGene00011696,4.4603292379874116e-132,WBGene00003367,5.602602984021739e-55,WBGene00010279,1.8696293992095163e-129,WBGene00006776,7.30437159475756e-134,WBGene00004913,2.0101614867545793e-15,WBGene00021506,6.2429071610457266e-37,WBGene00003596,2.468861122379176e-149,WBGene00015525,1.708327372627183e-21,WBGene00016250,6.929963510936051e-49,WBGene00004213,2.9105548963993315e-59,WBGene00012907,1.3840286931004498e-23,WBGene00000112,3.769442945794578e-21,WBGene00001130,1.7229081913296388e-38,WBGene00004184,8.601066679906222e-11,WBGene00017864,1.2783266747382248e-10,WBGene00007000,6.063732725032256e-41,WBGene00001628,2.8263015270590936e-18,WBGene00013002,1.0548008562189335e-09,WBGene00009580,5.564606118331949e-05,WBGene00012059,9.880282847916655e-08,WBGene00004502,2.3196209636538973e-06
42,WBGene00007012,1.3438443951477006e-39,WBGene00001627,1.8169597801317574e-55,WBGene00002991,1.891883846896581e-65,WBGene00015125,2.3789680434426567e-52,WBGene00017724,4.1312677455178114e-47,WBGene00022201,1.5651096669266294e-20,WBGene00017686,3.1165049500705345e-131,WBGene00019629,1.14431680221063e-54,WBGene00004186,5.328181087486022e-127,WBGene00001134,3.186631012915261e-133,WBGene00004201,2.0636473612214292e-15,WBGene00009784,8.552126896207124e-35,WBGene00008571,1.5647044923717815e-148,WBGene00015813,2.401852850604128e-21,WBGene00001073,2.2932285907483534e-48,WBGene00006407,1.1805583417248919e-57,WBGene00004913,1.6068972106594397e-23,WBGene00001490,4.762596815259341e-21,WBGene00020683,1.9926626855447746e-38,WBGene00018639,9.118572996429529e-11,WBGene00014261,1.3279454458198753e-10,WBGene00018294,1.0524892591290914e-40,WBGene00021292,5.49173302526719e-18,WBGene00004502,1.1512184421981594e-09,WBGene00001377,5.956130611521711e-05,WBGene00018776,1.1124565425939484e-07,WBGene00004143,2.334632271772568e-06
43,WBGene00007287,3.809491041922739e-39,WBGene00004950,5.202610506443259e-54,WBGene00000112,3.2530368318948427e-65,WBGene00004969,4.785639803039426e-52,WBGene00013111,7.201994456693391e-47,WBGene00008927,2.5212932989343358e-20,WBGene00002632,1.114509632671599e-130,WBGene00014243,3.2335722582791134e-51,WBGene00001134,2.2727128048919524e-126,WBGene00000876,4.090562082548535e-133,WBGene00010045,4.234414188537509e-15,WBGene00015064,8.744925355664622e-35,WBGene00013969,2.0610496707895216e-148,WBGene00006936,2.9620336597109853e-21,WBGene00022046,4.4485560533312087e-48,WBGene00000253,1.6745611906580302e-57,WBGene00016911,1.67712501802257e-23,WBGene00006767,1.69674755196746e-20,WBGene00003172,2.792025670057027e-38,WBGene00020572,9.169354455128989e-11,WBGene00003930,1.8635164148429816e-10,WBGene00019211,1.3184086229819668e-40,WBGene00016321,1.7879459748028125e-17,WBGene00012936,1.330234166692868e-09,WBGene00004213,6.015327612481075e-05,WBGene00001073,1.2028439864564793e-07,WBGene00001087,2.386261695683584e-06
44,WBGene00017016,5.674803833513391e-39,WBGene00020572,3.7256420920852436e-53,WBGene00013326,1.1412633372962905e-61,WBGene00020902,1.015623708282791e-51,WBGene00011935,7.236340781544557e-47,WBGene00003561,3.1880489681609164e-20,WBGene00022046,5.473932939105133e-130,WBGene00008684,9.8997382843379e-51,WBGene00013709,1.457034089850025e-125,WBGene00002201,3.9546956869963515e-131,WBGene00001210,6.115305616664509e-15,WBGene00011760,2.372372825553237e-34,WBGene00009521,3.0128191308824462e-148,WBGene00002497,4.5593511188268894e-21,WBGene00006961,7.488961260994837e-48,WBGene00001031,1.0502617718055527e-54,WBGene00002066,2.812816283705647e-23,WBGene00003978,1.9876912215992953e-20,WBGene00001837,3.1360927050728943e-38,WBGene00008121,1.6903766390035975e-10,WBGene00009784,2.67001487939185e-10,WBGene00000606,2.526978135672681e-40,WBGene00001627,2.3923062823067768e-17,WBGene00010231,2.971236821723468e-09,WBGene00001837,7.068537002361314e-05,WBGene00003953,1.320338209313448e-07,WBGene00000836,2.5285806800122392e-06
45,WBGene00008345,7.151691893273378e-39,WBGene00006970,1.8826202354810294e-52,WBGene00004201,6.715632896899012e-61,WBGene00018756,1.1368177381267725e-50,WBGene00013326,4.453658079064162e-46,WBGene00006496,4.4925494688312106e-20,WBGene00000872,1.2515475157458088e-129,WBGene00001035,2.0394348802489247e-49,WBGene00001527,2.7356745195776664e-125,WBGene00007184,4.1626111855209795e-131,WBGene00008852,9.06744988735856e-15,WBGene00012894,2.4933438056914594e-34,WBGene00003172,4.106978998196596e-146,WBGene00014243,4.699364748702989e-21,WBGene00019481,1.1131856937050333e-47,WBGene00017144,1.9017428828718805e-54,WBGene00007703,3.05895123783007e-23,WBGene00004830,2.0031950762689912e-20,WBGene00013925,4.1800271805499494e-38,WBGene00017339,2.1870281704617456e-10,WBGene00006803,3.131915437807171e-10,WBGene00012193,7.785674085642898e-40,WBGene00001746,3.1479994197265475e-17,WBGene00007412,4.896651878369789e-09,WBGene00018294,7.167340419528745e-05,WBGene00011507,1.4683741985312816e-07,WBGene00009120,2.573668324981472e-06
46,WBGene00008832,9.18559476267945e-39,WBGene00002178,2.9403905216337493e-52,WBGene00017724,1.182774453424883e-58,WBGene00013002,1.490194649281594e-50,WBGene00012005,1.0512387102435056e-44,WBGene00020443,5.703265291926462e-20,WBGene00018426,1.618669360241261e-129,WBGene00001259,3.783985305703253e-49,WBGene00017777,8.758547590919521e-125,WBGene00014243,5.239193455899595e-131,WBGene00019457,9.528989670550774e-15,WBGene00000591,3.864629866932101e-34,WBGene00015232,7.241413196037764e-146,WBGene00016321,5.727632876789652e-21,WBGene00002036,1.8881413819817436e-47,WBGene00001189,5.000302768238774e-54,WBGene00022199,4.1115489251940544e-23,WBGene00009478,1.3223487016570929e-19,WBGene00011507,2.369869607161774e-37,WBGene00006762,2.3169381593486825e-10,WBGene00017065,1.230540253538778e-09,WBGene00007050,2.1229048642835883e-39,WBGene00006756,1.687637799889569e-16,WBGene00009200,5.378767262038123e-09,WBGene00010564,7.962947502040568e-05,WBGene00011975,1.4957837644540098e-07,WBGene00017025,2.6576302636410485e-06
47,WBGene00008684,1.1593350785018212e-38,WBGene00018281,6.528102432458794e-52,WBGene00001132,2.5694410942624035e-58,WBGene00021506,6.433659803041322e-50,WBGene00016911,2.3969209096002444e-44,WBGene00007287,5.853210960710253e-20,WBGene00001258,2.924976964594834e-129,WBGene00020031,6.947339981949339e-49,WBGene00006776,1.1708674752311363e-124,WBGene00015237,7.542265398460976e-131,WBGene00016911,1.9765968702508922e-14,WBGene00008745,6.4300766808343105e-34,WBGene00001196,5.317686350601002e-142,WBGene00001258,1.6224960786688982e-20,WBGene00008999,1.309833912782563e-46,WBGene00011827,2.0298358083197899e-53,WBGene00001248,4.324652066993908e-23,WBGene00001130,1.3674504760129828e-19,WBGene00007980,9.907162636956826e-37,WBGene00001042,3.168021671674621e-10,WBGene00018520,2.1713347178087234e-09,WBGene00019890,6.148542236069304e-39,WBGene00013111,1.7500656804358878e-16,WBGene00004091,5.826065166771632e-09,WBGene00004969,8.949173344203581e-05,WBGene00008876,2.1472109760377773e-07,WBGene00003073,2.6594579046874908e-06
48,WBGene00001627,4.262030478652248e-38,WBGene00006762,7.317048749289314e-52,WBGene00007554,9.641282076223763e-58,WBGene00007463,6.949060066515609e-50,WBGene00000553,8.383431837535416e-43,WBGene00013326,7.053535050574128e-20,WBGene00009521,3.7701498821947834e-129,WBGene00010844,9.760727148621048e-49,WBGene00018776,1.829414409217698e-124,WBGene00014078,1.6740375880856208e-130,WBGene00020130,2.5736478975426698e-14,WBGene00000367,7.395836514764698e-34,WBGene00004166,1.5107514879588498e-140,WBGene00001042,2.833161095516277e-20,WBGene00018426,2.2614713176543964e-46,WBGene00002223,2.0343570347510102e-53,WBGene00006790,4.966706848456288e-23,WBGene00009177,1.453407189868648e-19,WBGene00001679,5.0071338511776085e-36,WBGene00019682,4.2292692543111005e-10,WBGene00017640,2.492413480181641e-09,WBGene00020930,1.8235150140362394e-38,WBGene00022518,2.012518553336688e-16,WBGene00003589,6.977042628328663e-09,WBGene00011955,9.88225373602485e-05,WBGene00017066,2.3484493922897733e-07,WBGene00012097,2.9229136600851137e-06
49,WBGene00019077,1.4901295024682172e-37,WBGene00010045,1.0548490817263917e-51,WBGene00000900,1.8604782180049198e-57,WBGene00009116,1.8721650376912756e-48,WBGene00020556,1.2485679847673294e-42,WBGene00020130,7.344318860771028e-20,WBGene00004854,4.162640854189945e-128,WBGene00016331,1.4668437926653766e-48,WBGene00007184,2.803762459725546e-124,WBGene00017855,1.0812571142775891e-129,WBGene00015776,2.811778967889763e-14,WBGene00000814,1.1695053705981331e-33,WBGene00003916,2.018326772677088e-140,WBGene00006768,5.2614667453918805e-20,WBGene00000550,8.215732043892638e-46,WBGene00008666,3.099389921146928e-50,WBGene00014249,1.4613408870367664e-22,WBGene00010941,2.0664183341931754e-19,WBGene00014243,2.0160436132165264e-35,WBGene00018281,5.524605368992302e-10,WBGene00021538,3.977416219048744e-09,WBGene00003061,7.58176541943704e-38,WBGene00001648,4.2979716580438517e-16,WBGene00002229,8.314413515024363e-09,WBGene00004921,0.00010371470135916187,WBGene00003930,2.5280200757433743e-07,WBGene00000833,3.831229513298019e-06
50,WBGene00012015,3.769531585885589e-37,WBGene00003931,2.5477744976697246e-51,WBGene00016735,2.773131915902265e-57,WBGene00017298,2.221976741791296e-48,WBGene00006746,3.1717325458452363e-42,WBGene00016911,1.232332608722966e-19,WBGene00013038,8.558820357244889e-128,WBGene00011503,3.302261522133695e-48,WBGene00003596,8.577774600428517e-124,WBGene00011696,1.33777450936553e-128,WBGene00020530,2.8682463063936434e-14,WBGene00021910,2.1032461959415898e-33,WBGene00000550,3.531762272121418e-139,WBGene00007514,6.117513769839434e-20,WBGene00009460,8.439012855472554e-46,WBGene00006479,5.560163501413462e-49,WBGene00006818,1.4882454338407733e-22,WBGene00011955,3.8997039139972475e-19,WBGene00006768,3.988144561409634e-35,WBGene00007067,6.907916561760646e-10,WBGene00018976,7.428381939241475e-09,WBGene00006777,1.1115968196554902e-37,WBGene00004873,6.234438311184425e-16,WBGene00013735,9.03454856197156e-09,WBGene00006367,0.00011404142631386983,WBGene00007412,3.8741566526250775e-07,WBGene00011975,3.873836644342835e-06
51,WBGene00001006,1.1753336931109553e-36,WBGene00020443,3.2343532330955263e-51,WBGene00001680,3.892460257393742e-55,WBGene00003411,5.4362431029541615e-48,WBGene00006766,2.9532162366558365e-41,WBGene00008832,2.365157494383161e-19,WBGene00019940,1.980084353066763e-126,WBGene00000872,5.217058001991901e-48,WBGene00001259,1.3030496997818226e-123,WBGene00001094,1.3570984652593942e-127,WBGene00003675,7.017680462265391e-14,WBGene00012362,4.096357765220412e-33,WBGene00008006,4.454963706917783e-138,WBGene00015206,9.860044886308425e-20,WBGene00001793,6.151775717078276e-45,WBGene00007055,4.032993719880151e-47,WBGene00018467,3.2509792712972383e-22,WBGene00009531,7.47689667393411e-19,WBGene00019890,2.098241989762526e-34,WBGene00004201,7.368135495388085e-10,WBGene00003589,7.889449427024988e-09,WBGene00000148,1.1157795947788713e-37,WBGene00003916,1.634274054111781e-15,WBGene00006352,9.667546341629038e-09,WBGene00006798,0.00012917168925139866,WBGene00014021,3.8847052456644993e-07,WBGene00015553,4.643355638147669e-06
