Sub_Cluster1	Sub_Cluster2	Value
Neutrophil.h	Erythroid.m	0.581422044416667
Plasmocyte.h	Erythroid.m	0.492294305875
Proliferating.h	Erythroid.m	0.597984694875
Secretory.h	Erythroid.m	0.477428217928571
Stromal.h	Erythroid.m	0.448624324025
T cell.h	Erythroid.m	0.7079934005625
B cell.m	Erythroid.z	0.711895910555556
Cumulus.m	Erythroid.z	0.376958531333333
Dendritic.m	Erythroid.z	0.625444280055556
Endothelial.m	Erythroid.z	0.464113780166667
Epithelial.m	Erythroid.z	0.418474455212121
Erythroid.m	Erythroid.z	0.856181083083333
Hepatocyte.m	Erythroid.z	0.577874011555556
Macrophage.m	Erythroid.z	0.612309879
Mast.m	Erythroid.z	0.744454761333333
Monocyte.m	Erythroid.z	0.746705362666667
Muscle.m	Erythroid.z	0.460026288111111
Neuron.m	Erythroid.z	0.329204288888889
Neutrophil.m	Erythroid.z	0.787210661
ProliferatingEpithelial.m	Erythroid.z	0.391346477
Proliferating.m	Erythroid.z	0.559874929333333
Secretory.m	Erythroid.z	0.434832793333333
Stromal.m	Erythroid.z	0.307932387354167
T cell.m	Erythroid.z	0.713032458083333
Epithelial.a	Excretory.c	0.814456892333333
EpithelialA.a	Excretory.c	0.768855974
Mesenchyme.a	Excretory.c	0.460969525666667
MesenchymeA.a	Excretory.c	0.49444578125
Muscle1.a	Excretory.c	0.656202018
Muscle.a	Excretory.c	0.524521691
Neuron.a	Excretory.c	0.6917901635
NeuronA.a	Excretory.c	0.6800796855
Proliferating.a	Excretory.c	0.352226840666667
Coelomocytes.c	Excretory.s	0.79640503
DistalTip.c	Excretory.s	0.681762095
Epithelial.c	Excretory.s	0.756422017333333
Excretory.c	Excretory.s	0.871458684
Glia.c	Excretory.s	0.8757884065
Muscle.c	Excretory.s	0.6246406165
Neuron.c	Excretory.s	0.8717313731
Pharynx.c	Excretory.s	0.839765062333333
Proliferating.c	Excretory.s	0.2507942942
Epithelial.s	Gastrodermis.n	0.5964457615
Excretory.s	Gastrodermis.n	0.608362022
Glia.s	Gastrodermis.n	0.864691871
Muscle.s	Gastrodermis.n	0.729985602
Neuron.s	Gastrodermis.n	0.5296619915
Parenchymal.s	Gastrodermis.n	0.859939579333333
Phagocytes.s	Gastrodermis.n	0.941300447
Pharynx.s	Gastrodermis.n	0.650030218
Proliferating.s	Gastrodermis.n	0.434319069347826
Secretory.s	Gastrodermis.n	0.60120181
Epithelial.a	Glia.c	0.8868292065
EpithelialA.a	Glia.c	0.83077567725
Mesenchyme.a	Glia.c	0.423506510555556
MesenchymeA.a	Glia.c	0.40509313625
Muscle1.a	Glia.c	0.5849153145
Muscle.a	Glia.c	0.4913597335
Neuron.a	Glia.c	0.719923576166667
NeuronA.a	Glia.c	0.813689085
Proliferating.a	Glia.c	0.312829431
Coelomocytes.c	Glia.s	0.626451965
DistalTip.c	Glia.s	0.509529343
Epithelial.c	Glia.s	0.863349893333333
Excretory.c	Glia.s	0.882245913
Glia.c	Glia.s	0.8327812465
Muscle.c	Glia.s	0.770119266
Neuron.c	Glia.s	0.7556846169
Pharynx.c	Glia.s	0.755832269333333
Proliferating.c	Glia.s	0.145892876
Centrocyte.h	Hepatocyte.m	0.502759119666667
Dendritic.h	Hepatocyte.m	0.4401234325
Endothelial.h	Hepatocyte.m	0.533981609666667
Epithelial.h	Hepatocyte.m	0.778265274583333
Erythroid.h	Hepatocyte.m	0.489037309
Hepatocyte.h	Hepatocyte.m	0.990978302666667
Macrophage.h	Hepatocyte.m	0.490374331066667
Mast.h	Hepatocyte.m	0.321430157
Monocyte.h	Hepatocyte.m	0.572099371333333
Muscle.h	Hepatocyte.m	0.297300774666667
Myeloid.h	Hepatocyte.m	0.5176888505
Neuron.h	Hepatocyte.m	0.2667309951
Neutrophil.h	Hepatocyte.m	0.502561149611111
Plasmocyte.h	Hepatocyte.m	0.605318750333333
Proliferating.h	Hepatocyte.m	0.493271612666667
Secretory.h	Hepatocyte.m	0.81783623947619
Stromal.h	Hepatocyte.m	0.360456442883333
T cell.h	Hepatocyte.m	0.43392685375
B cell.m	Hepatocyte.z	0.405011869533333
Cumulus.m	Hepatocyte.z	0.5675971922
Dendritic.m	Hepatocyte.z	0.395705188466667
Endothelial.m	Hepatocyte.z	0.3376903212
Epithelial.m	Hepatocyte.z	0.731589550127273
Erythroid.m	Hepatocyte.z	0.4533886439
Hepatocyte.m	Hepatocyte.z	0.927911968733333
Macrophage.m	Hepatocyte.z	0.517353796266667
Mast.m	Hepatocyte.z	0.3956319492
Monocyte.m	Hepatocyte.z	0.3874589688
Muscle.m	Hepatocyte.z	0.515755635511111
Neuron.m	Hepatocyte.z	0.335105911833333
Neutrophil.m	Hepatocyte.z	0.4206078204
ProliferatingEpithelial.m	Hepatocyte.z	0.5673418232
Proliferating.m	Hepatocyte.z	0.506651233428571
Secretory.m	Hepatocyte.z	0.655583207
Stromal.m	Hepatocyte.z	0.460885410325
T cell.m	Hepatocyte.z	0.30485047085
B cell.m	Immune.z	0.886588037435897
Cumulus.m	Immune.z	0.247823221846154
Dendritic.m	Immune.z	0.91938645874359
Endothelial.m	Immune.z	0.533895461788462
Epithelial.m	Immune.z	0.454311436643357
Erythroid.m	Immune.z	0.591982665346154
Hepatocyte.m	Immune.z	0.585312056897436
Macrophage.m	Immune.z	0.894582849346154
Mast.m	Immune.z	0.881721936
Monocyte.m	Immune.z	0.911686951
Muscle.m	Immune.z	0.26477325642735
Neuron.m	Immune.z	0.197972766923077
Neutrophil.m	Immune.z	0.924167998326923
ProliferatingEpithelial.m	Immune.z	0.248583740846154
Proliferating.m	Immune.z	0.427281684604396
Secretory.m	Immune.z	0.402159500230769
Stromal.m	Immune.z	0.268012746572115
T cell.m	Immune.z	0.887475537673077
Centrocyte.h	Macrophage.m	0.75046505
Dendritic.h	Macrophage.m	0.867844232333333
Endothelial.h	Macrophage.m	0.513799389095238
Epithelial.h	Macrophage.m	0.395972509541667
Erythroid.h	Macrophage.m	0.487956680458333
Hepatocyte.h	Macrophage.m	0.761871781
Macrophage.h	Macrophage.m	0.882417743733333
Mast.h	Macrophage.m	0.740710294166667
Monocyte.h	Macrophage.m	0.90539778325
Muscle.h	Macrophage.m	0.383506859333333
Myeloid.h	Macrophage.m	0.742288951666667
Neuron.h	Macrophage.m	0.341426402016667
Neutrophil.h	Macrophage.m	0.800051601
Plasmocyte.h	Macrophage.m	0.639987830833333
Proliferating.h	Macrophage.m	0.1760353445
Secretory.h	Macrophage.m	0.288123868880952
Stromal.h	Macrophage.m	0.327531124475
T cell.h	Macrophage.m	0.643183312916667
Centrocyte.h	Mast.m	0.809022315
Dendritic.h	Mast.m	0.740999386
Endothelial.h	Mast.m	0.357247080857143
Epithelial.h	Mast.m	0.29494322625
Erythroid.h	Mast.m	0.69474609975
Hepatocyte.h	Mast.m	0.622667633
Macrophage.h	Mast.m	0.7038385565
Mast.h	Mast.m	0.685078464
Monocyte.h	Mast.m	0.86816792
Muscle.h	Mast.m	0.3049441672
Myeloid.h	Mast.m	0.843734817
Neuron.h	Mast.m	0.2427344649
Neutrophil.h	Mast.m	0.836690405833333
Plasmocyte.h	Mast.m	0.6829574175
Proliferating.h	Mast.m	0.29940676
Secretory.h	Mast.m	0.288863096714286
Stromal.h	Mast.m	0.3551281514
T cell.h	Mast.m	0.79400851675
Endothelial.z	Mesenchyme.a	0.388619322777778
Epithelial.z	Mesenchyme.a	0.609153952433333
Erythroid.z	Mesenchyme.a	0.574192067777778
Hepatocyte.z	Mesenchyme.a	0.651810558088889
Immune.z	Mesenchyme.a	0.595579821230769
Muscle.z	Mesenchyme.a	0.489162604179487
Neuron.z	Mesenchyme.a	0.437416507450617
Proliferating.z	Mesenchyme.a	0.484518013351852
Secretory.z	Mesenchyme.a	0.567879442966667
Stromal.z	Mesenchyme.a	0.40320586337037
