,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
52,WBGene00001484,5.819702931363666e-17,WBGene00002010,1.792113272724632e-17,WBGene00017012,9.718510286542964e-10,WBGene00004682,6.096210742396201e-15,WBGene00016888,1.2381056009356586e-62,WBGene00003130,2.9872330205582513e-37,WBGene00001484,3.539272741413661e-07,WBGene00020679,9.441518123251866e-25,WBGene00000123,8.567349731930661e-29,WBGene00004467,1.4550354477474557e-11,WBGene00009436,1.1829166657237792e-06,WBGene00012896,3.360440783279651e-23,WBGene00018700,0.0018037145376852178,WBGene00000518,0.009025146348413055,WBGene00019656,0.000512231468396317,WBGene00003401,1.1901470163792955e-23
53,WBGene00017973,1.1686468097759574e-16,WBGene00004498,3.14126391768092e-17,WBGene00008547,1.0649029135216373e-09,WBGene00011625,7.898853413505519e-15,WBGene00019433,1.5117016507351695e-62,WBGene00007197,3.580133620052017e-37,WBGene00004950,3.5707917825004476e-07,WBGene00011510,2.6291758321863393e-24,WBGene00013687,2.9348372781761392e-28,WBGene00016170,2.1876922004364266e-11,WBGene00015658,1.3812513471849683e-06,WBGene00002250,3.7276175442794095e-23,WBGene00006434,0.0018492948643746459,WBGene00006727,0.009309079556764138,WBGene00004950,0.0005232254160027803,WBGene00001258,1.2664963979769281e-23
54,WBGene00009503,1.5077353247113473e-16,WBGene00002169,7.355099496174269e-17,WBGene00001558,1.073437245337689e-09,WBGene00004482,1.0031488737859992e-14,WBGene00019543,2.0702538827753606e-62,WBGene00001101,3.6496080681908077e-37,WBGene00021185,4.559387385738623e-07,WBGene00004014,2.715912701026244e-23,WBGene00022531,4.0078339382808297e-28,WBGene00019061,2.705661727878542e-11,WBGene00015156,1.4574047556477255e-06,WBGene00000071,4.859192694681646e-23,WBGene00013311,0.0019823161372568457,WBGene00001377,0.01083339640692145,WBGene00001115,0.0005617953839069349,WBGene00011897,3.780862621155204e-23
55,WBGene00001171,1.830095423316183e-16,WBGene00021697,1.6845915702346888e-16,WBGene00008143,1.175087249960235e-09,WBGene00006626,1.1961785295982633e-14,WBGene00021209,2.2071183015214142e-62,WBGene00003806,4.010498059542905e-37,WBGene00001837,5.38720302712426e-07,WBGene00013289,5.949144501629023e-23,WBGene00003393,4.132686916153924e-28,WBGene00011511,2.991103588069151e-11,WBGene00004969,1.6025357591482135e-06,WBGene00010794,2.120448630781288e-22,WBGene00004375,0.002167715796109568,WBGene00003014,0.011468696399440034,WBGene00016811,0.0006341915135518181,WBGene00007683,9.378966225937973e-23
56,WBGene00000476,2.0397319804513703e-16,WBGene00004015,2.0580312390680015e-16,WBGene00020131,1.227540251675994e-09,WBGene00004307,2.9981778234978797e-14,WBGene00002147,2.5645784193251106e-61,WBGene00000472,1.9840142052335257e-36,WBGene00015658,6.418454900879981e-07,WBGene00022089,1.4258503770247034e-22,WBGene00018892,6.704600069898099e-28,WBGene00001073,3.411725350434637e-11,WBGene00008018,1.7494354495449828e-06,WBGene00010419,2.230079524631625e-22,WBGene00003776,0.0022874044558867375,WBGene00012930,0.011836479439530898,WBGene00004895,0.0006711191312655493,WBGene00003799,1.2322575971546469e-22
57,WBGene00004368,2.933097637788078e-16,WBGene00016140,2.0885122044084078e-16,WBGene00001043,1.874443231847595e-09,WBGene00009674,5.2954745959843675e-14,WBGene00000892,6.192934108825886e-61,WBGene00009082,4.953104820921137e-36,WBGene00021444,7.416335552284017e-07,WBGene00009082,3.760883031136835e-22,WBGene00009672,8.032765902032006e-28,WBGene00001620,4.211772464900317e-11,WBGene00019823,1.8227241775017851e-06,WBGene00009793,2.5238928747946723e-22,WBGene00012203,0.002805265021244999,WBGene00016384,0.012621597188436088,WBGene00000403,0.0007601731091815462,WBGene00012148,1.2629855767897163e-22
58,WBGene00015470,4.280433771313343e-16,WBGene00016405,3.0013682495719085e-16,WBGene00002215,2.2548110521807057e-09,WBGene00007955,9.749763274997169e-14,WBGene00018890,6.966552142439176e-61,WBGene00013462,6.285449775880214e-36,WBGene00010736,7.969754184824569e-07,WBGene00003162,9.004794284655864e-22,WBGene00004704,1.678853906572857e-27,WBGene00004077,4.608488985914233e-11,WBGene00019434,2.631461669207427e-06,WBGene00012245,3.9772436554309346e-22,WBGene00001368,0.0029639312867698253,WBGene00012903,0.013485157670766511,WBGene00000407,0.0008544478323306387,WBGene00009532,1.5049662559300725e-22
59,WBGene00006791,4.314180381384878e-16,WBGene00002497,4.682326832996883e-16,WBGene00006720,2.283334507531453e-09,WBGene00011128,1.1200182865674125e-13,WBGene00003119,1.6354343627477526e-60,WBGene00001116,1.577503476970404e-35,WBGene00001709,8.16777885263039e-07,WBGene00002025,2.390262041657514e-21,WBGene00010478,3.877942866394783e-27,WBGene00012360,5.0937479339780495e-11,WBGene00011638,2.822125526033134e-06,WBGene00007027,4.501771889791638e-22,WBGene00011481,0.0040354782986312095,WBGene00015204,0.013820318400633063,WBGene00015470,0.0008574497969112603,WBGene00017137,1.8147187138198054e-22
60,WBGene00013111,1.2047233920443673e-15,WBGene00020781,1.6688159578138638e-15,WBGene00003568,2.4651688527221332e-09,WBGene00003014,1.325839039719545e-13,WBGene00001073,2.2033216556826605e-60,WBGene00012903,1.7566254459998723e-35,WBGene00009734,8.875845514056857e-07,WBGene00011884,2.9219286240908023e-21,WBGene00014115,2.4366699157396392e-26,WBGene00010130,5.125479015540265e-11,WBGene00018007,2.866896761612573e-06,WBGene00003834,1.1250534916746043e-21,WBGene00004266,0.004639841912952871,WBGene00016704,0.01388670570945719,WBGene00013000,0.0009173713170644862,WBGene00018857,1.8409054234801072e-22
61,WBGene00013711,1.5142126625904813e-15,WBGene00019947,5.268919329781041e-15,WBGene00008006,3.3914287236449774e-09,WBGene00004441,1.6361431850685362e-13,WBGene00016258,2.50027615712046e-60,WBGene00004085,2.418491100498131e-35,WBGene00001335,9.776531660266332e-07,WBGene00022042,7.574377463132552e-21,WBGene00013462,2.795533767137494e-26,WBGene00004116,8.488484546670999e-11,WBGene00018784,3.866287167066827e-06,WBGene00022021,1.6426777825690303e-21,WBGene00044077,0.004686504635683231,WBGene00001368,0.013900651054184667,WBGene00001235,0.0009572853663432836,WBGene00016539,2.1617865862099987e-22
62,WBGene00010813,3.285166010739317e-15,WBGene00020391,6.490714738411861e-15,WBGene00022391,3.6900155983259336e-09,WBGene00001558,2.6511262140192334e-13,WBGene00017349,3.5923363392982416e-60,WBGene00017640,3.984795624685913e-35,WBGene00009436,1.2069056024444647e-06,WBGene00015810,3.5763991677127176e-20,WBGene00003397,3.422933346341569e-26,WBGene00012203,9.950555757327529e-11,WBGene00020636,4.497067867374705e-06,WBGene00000962,2.4833366189442445e-21,WBGene00001196,0.005224775965677723,WBGene00001794,0.017222203951343593,WBGene00022388,0.001117958242394379,WBGene00021295,3.851524081234504e-22
63,WBGene00013326,6.096391616793476e-15,WBGene00010435,2.0407215583773833e-14,WBGene00001650,4.665765825968757e-09,WBGene00003830,4.0967731806799836e-13,WBGene00020235,4.872967537940572e-60,WBGene00002216,4.6890324636806926e-35,WBGene00013802,1.3865312065967128e-06,WBGene00012376,8.471770771009615e-20,WBGene00000156,5.149266894289778e-26,WBGene00001404,1.1721859957177775e-10,WBGene00016811,4.635223196755983e-06,WBGene00016162,2.788581240758435e-21,WBGene00006833,0.00637347686316746,WBGene00017350,0.01851892305377265,WBGene00006833,0.001179868357452829,WBGene00015143,3.934536654265217e-22
64,WBGene00000161,6.604926821506774e-15,WBGene00022046,2.4284225133839626e-14,WBGene00013042,4.8951335520395045e-09,WBGene00006649,5.379425877628918e-13,WBGene00022675,5.251474093605077e-60,WBGene00001497,5.035329275298651e-35,WBGene00018007,1.6150433118294923e-06,WBGene00010794,8.514140180515502e-20,WBGene00002223,7.879038264456661e-26,WBGene00010809,1.2692818997694198e-10,WBGene00009882,4.743093285707724e-06,WBGene00004754,2.8151427669077947e-21,WBGene00001055,0.006728530256300359,WBGene00007784,0.02118652530206931,WBGene00019060,0.0011921882377417614,WBGene00006324,4.201800208557077e-22
65,WBGene00022240,6.7150462408158644e-15,WBGene00010284,2.5896300383581967e-14,WBGene00011696,5.76147492626386e-09,WBGene00001089,5.940151627335786e-13,WBGene00011526,7.457994164246098e-60,WBGene00003014,1.3219764819344388e-34,WBGene00007548,2.032448768905859e-06,WBGene00002991,1.7822291036066833e-19,WBGene00004895,9.944140407707859e-26,WBGene00004491,1.6759213063190352e-10,WBGene00000071,5.575811093791998e-06,WBGene00004187,7.196265701038458e-21,WBGene00019487,0.007126580974364685,WBGene00001031,0.021744410373205635,WBGene00017063,0.0012040588901074865,WBGene00002203,4.657334816196404e-22
66,WBGene00018330,7.337286406284283e-15,WBGene00007055,3.264829128032627e-14,WBGene00006757,7.480259463965162e-09,WBGene00018788,1.0629848874552623e-12,WBGene00001404,1.4326866588014388e-58,WBGene00001331,1.8560653238775591e-34,WBGene00022776,2.1130369611888846e-06,WBGene00003153,4.2552965198644787e-19,WBGene00022388,9.981068866843501e-26,WBGene00004434,1.677741471852785e-10,WBGene00019060,5.652165167689733e-06,WBGene00001337,7.73563537819541e-21,WBGene00018330,0.007598492463079748,WBGene00015203,0.02516334654429851,WBGene00013802,0.0012424464719727466,WBGene00013164,4.7549850133095935e-22
67,WBGene00018009,1.0329819790243463e-14,WBGene00020683,3.9497318867926887e-14,WBGene00007210,8.494714727731453e-09,WBGene00004116,1.0711762137252222e-12,WBGene00008452,1.9917415249387037e-58,WBGene00018294,2.2233488902931874e-34,WBGene00022389,2.320358583329925e-06,WBGene00006433,4.607494388805522e-19,WBGene00004390,1.6547788098367263e-25,WBGene00020111,1.8282300301694035e-10,WBGene00001335,5.803662472653554e-06,WBGene00007703,1.1424193119047267e-20,WBGene00001137,0.008088131563391797,WBGene00015810,0.02638610596044422,WBGene00007548,0.0012890495237955811,WBGene00021628,4.777805845998782e-22
