,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
0,WBGene00002048,3.3965659953429266e-179,WBGene00004855,3.250149674710862e-123,WBGene00009322,7.644235942702309e-29,WBGene00003963,9.464775491055191e-141,WBGene00007210,2.1942265181661015e-109,WBGene00001263,2.0974067807550188e-177,WBGene00000403,1.992449502940308e-99,WBGene00001263,6.990341265535265e-201,WBGene00019940,1.3028285437491402e-113,WBGene00011232,4.358230926745327e-64,WBGene00012148,1.0712655969623478e-185,WBGene00017012,3.358670277861507e-103,WBGene00013025,6.231677455764434e-51,WBGene00018398,3.0047023685531444e-52,WBGene00002048,1.019458674920861e-89,WBGene00001007,6.024909251617733e-37
1,WBGene00004921,1.7142316774505278e-102,WBGene00017075,2.499736607215855e-97,WBGene00006444,1.7078271482503357e-28,WBGene00002007,2.058912291289545e-112,WBGene00004434,1.6978221923825801e-103,WBGene00002247,1.2875924410830416e-175,WBGene00002048,4.524766274456017e-75,WBGene00004736,6.891279789224647e-179,WBGene00000962,3.778099078158145e-86,WBGene00001398,2.9312811734491714e-54,WBGene00018877,1.926189865477134e-120,WBGene00002173,1.0222405097878115e-85,WBGene00006917,3.028357360512111e-36,WBGene00004013,1.4790364060360347e-49,WBGene00000906,4.609133518072631e-47,WBGene00021973,2.842047899368532e-35
2,WBGene00000403,3.873958606077777e-92,WBGene00001423,4.9787558785582926e-92,WBGene00015418,1.857646099962858e-27,WBGene00000802,1.1695634530297928e-100,WBGene00004919,4.735818900558649e-96,WBGene00002978,2.0429031816076777e-159,WBGene00000277,1.0140800068432567e-43,WBGene00000822,1.5433757053085541e-171,WBGene00000479,1.793803946854231e-83,WBGene00010988,5.229633982800868e-54,WBGene00000802,2.8521221681734595e-88,WBGene00011480,1.669485227116143e-83,WBGene00021952,6.843325400993622e-33,WBGene00016006,2.945333750404439e-41,WBGene00000277,1.2445741308742654e-40,WBGene00012930,4.921630638618015e-35
3,WBGene00006742,2.852651532217239e-67,WBGene00022042,4.3529263191575727e-67,WBGene00003229,2.5809715292980137e-24,WBGene00003964,2.0368400112463967e-93,WBGene00004482,1.5803534414097268e-93,WBGene00016913,3.49292183444543e-142,WBGene00015478,1.9926626635062368e-23,WBGene00002978,2.3891765933950013e-158,WBGene00022048,1.8713405985648764e-81,WBGene00007836,9.695828947036206e-40,WBGene00020509,2.691630869879506e-50,WBGene00007463,4.542466361886581e-72,WBGene00006919,7.874852160040367e-27,WBGene00001410,5.413358058063723e-36,WBGene00008018,3.80218908234595e-30,WBGene00007591,1.5957954872977069e-34
4,WBGene00006803,9.182328234509097e-61,WBGene00002045,1.0120251547586394e-58,WBGene00000857,8.692767954249109e-23,WBGene00015168,2.2806799882710463e-63,WBGene00007836,3.9179521747063495e-88,WBGene00019760,3.63850394342397e-107,WBGene00016935,1.0779304311685514e-21,WBGene00001564,1.7221505355139525e-132,WBGene00002696,2.0148884779881783e-77,WBGene00019322,4.142561791263147e-39,WBGene00002007,1.1406734606562945e-26,WBGene00001564,6.651361380948099e-72,WBGene00006921,3.7967799182271365e-25,WBGene00002978,1.0286690259983333e-32,WBGene00020572,3.4070178760439307e-28,WBGene00004302,2.1655802096486826e-32
5,WBGene00004364,6.722597404821778e-59,WBGene00002065,6.186360587500898e-55,WBGene00003516,1.49508848078924e-22,WBGene00000881,2.6148560859591764e-62,WBGene00008143,1.403552033465498e-87,WBGene00003567,5.435864017588536e-94,WBGene00000553,9.023755892061297e-21,WBGene00001131,1.417957644104012e-128,WBGene00002169,3.2728701475580884e-69,WBGene00003844,3.368716006150636e-36,WBGene00011867,1.6163791011905443e-19,WBGene00011232,3.961564581760786e-71,WBGene00006920,1.0318903682935475e-22,WBGene00009532,3.3629113455506335e-20,WBGene00020556,1.5947947773756312e-14,WBGene00016725,6.527471750736454e-32
6,WBGene00000552,1.1751706601977252e-56,WBGene00012097,2.1946203943315602e-52,WBGene00004213,1.6462958962392812e-22,WBGene00011480,4.2429368183806614e-61,WBGene00003931,7.063443275622103e-85,WBGene00004736,6.0209687281248215e-93,WBGene00017973,3.210753052653344e-19,WBGene00000114,8.72056534725963e-106,WBGene00002201,1.2751058271940778e-66,WBGene00022336,5.733271705706666e-33,WBGene00008140,1.5816013688463332e-13,WBGene00003411,7.621249938142422e-63,WBGene00006913,1.060514266634631e-14,WBGene00017904,1.3184347667681497e-14,WBGene00006767,3.244072233277925e-14,WBGene00017025,9.968177237383094e-31
7,WBGene00003166,6.386243920583537e-56,WBGene00020915,3.6796924186530154e-48,WBGene00013416,1.0371369692247162e-21,WBGene00013311,4.991927318815939e-52,WBGene00004454,3.2618814122392353e-84,WBGene00001650,1.6534204404504278e-82,WBGene00004921,9.04399052557464e-19,WBGene00010703,4.0888824610068767e-97,WBGene00015203,6.747006455525903e-61,WBGene00009978,3.822191486329108e-31,WBGene00006438,2.7850710941374174e-12,WBGene00004736,6.99349135808923e-60,WBGene00010130,2.685392284467915e-10,WBGene00006823,5.473462123828426e-11,WBGene00004131,1.442012954159239e-11,WBGene00012193,1.2507126088926797e-30
8,WBGene00006594,3.3671716365795193e-40,WBGene00018846,5.007817164622262e-48,WBGene00000228,3.2759671785216257e-19,WBGene00021420,1.6021185190626892e-50,WBGene00018788,2.3990816750599623e-83,WBGene00010703,8.290493348128823e-65,WBGene00004345,2.2378746914370594e-17,WBGene00002247,3.287503253173007e-95,WBGene00011629,8.88319000003259e-56,WBGene00010665,1.4959034613133877e-21,WBGene00003963,2.3434901453012017e-11,WBGene00008506,8.744471194670167e-60,WBGene00016258,3.379543563467549e-09,WBGene00003561,1.3580861749530222e-09,WBGene00000553,1.9041304784613098e-10,WBGene00006444,1.3592607216545735e-29
9,WBGene00006468,8.835109452685075e-39,WBGene00000229,9.77370872243442e-48,WBGene00001516,4.121200710030105e-18,WBGene00022122,8.283436664419032e-47,WBGene00004445,1.8051525668887738e-82,WBGene00008547,1.010628566597716e-59,WBGene00000906,2.548960715965364e-16,WBGene00020012,1.0545856315070786e-87,WBGene00006595,1.612029550701666e-54,WBGene00007210,3.2866544652403162e-21,WBGene00006503,1.6091330142351058e-10,WBGene00004855,3.5330209644345284e-57,WBGene00003963,5.533194760117718e-09,WBGene00004831,1.9738662768603513e-08,WBGene00019434,5.162189423429118e-10,WBGene00001412,2.1972646564060916e-29
10,WBGene00001335,1.831161562665073e-38,WBGene00010260,3.4138474428539627e-46,WBGene00018018,9.766105911099953e-18,WBGene00006472,7.506344792236e-40,WBGene00010564,6.836324671331586e-79,WBGene00011283,4.249366827102477e-59,WBGene00011261,9.485328491946262e-16,WBGene00016913,8.775378697709077e-85,WBGene00009671,2.3613557250089635e-53,WBGene00009334,1.1370961265747712e-19,WBGene00001604,7.486454666576923e-10,WBGene00001333,4.431874447048414e-53,WBGene00004855,4.045629468149627e-08,WBGene00008121,1.5509906596977782e-07,WBGene00008780,3.078134945358231e-09,WBGene00010317,4.037722785525482e-29
11,WBGene00000086,7.325537675571188e-38,WBGene00002005,8.467416645573037e-45,WBGene00006476,2.5803371400733525e-17,WBGene00006367,2.4591040169236167e-36,WBGene00014051,1.256667242187147e-78,WBGene00001794,1.009733841381074e-58,WBGene00013111,2.1182609523626554e-15,WBGene00000229,4.56691084288889e-81,WBGene00009200,5.05513408742578e-48,WBGene00010966,2.5950024668794035e-19,WBGene00001377,3.757906150147541e-09,WBGene00002007,2.9190646958162673e-50,WBGene00001558,1.1750789367492369e-07,WBGene00006444,1.012625395768537e-06,WBGene00013711,5.604763717755548e-09,WBGene00005019,4.2659603635173407e-29
12,WBGene00004969,2.5555416215793598e-33,WBGene00004454,1.308290998928642e-44,WBGene00012203,1.0171775134603656e-16,WBGene00020216,1.6670547620117837e-34,WBGene00017928,2.8582451875978884e-77,WBGene00000114,6.153066959499126e-57,WBGene00010813,4.7354744511748886e-14,WBGene00018701,1.2984373888485279e-78,WBGene00020031,7.05481515623119e-47,WBGene00011146,3.1111943989754438e-18,WBGene00011480,3.968220059292257e-09,WBGene00016415,1.5454028656448067e-49,WBGene00010317,1.773796104974097e-07,WBGene00011283,2.201104757385917e-06,WBGene00022647,5.807606374704912e-09,WBGene00013460,6.68680632190996e-29
13,WBGene00001679,6.754633393944879e-33,WBGene00013766,1.522936372544037e-44,WBGene00013135,3.1158224977504026e-16,WBGene00001073,1.1010610551936963e-33,WBGene00006476,5.932732027625266e-77,WBGene00006771,1.459255168949999e-56,WBGene00004207,6.758788060364248e-14,WBGene00016918,9.744197898159785e-75,WBGene00017605,3.6762856412377e-46,WBGene00012354,3.830389976132805e-18,WBGene00004272,9.308538741151457e-09,WBGene00019060,3.2986419444977527e-49,WBGene00002007,2.4036220520967943e-07,WBGene00022358,9.02412790685302e-06,WBGene00017350,4.928667914343947e-08,WBGene00022361,8.108824458815253e-29
14,WBGene00003404,1.2003526215883083e-31,WBGene00010627,5.46075206734506e-44,WBGene00002039,2.3196647042126114e-15,WBGene00021644,4.227617738689355e-33,WBGene00004497,1.050403871170569e-76,WBGene00013289,4.598731807441405e-56,WBGene00008018,2.6028788345259865e-12,WBGene00016716,4.454744986755084e-74,WBGene00012484,6.211594749642218e-45,WBGene00010272,6.2393013539811235e-18,WBGene00016583,1.0911818947693804e-08,WBGene00002025,2.6867618658626725e-48,WBGene00017904,3.2978415736198194e-07,WBGene00016407,2.5721965257024433e-05,WBGene00009503,5.7081388683962546e-08,WBGene00010130,1.174065739738311e-28
15,WBGene00006833,5.7320289572960035e-31,WBGene00004441,1.7470978386265677e-43,WBGene00008345,4.094269197061532e-15,WBGene00007463,3.052124423872413e-29,WBGene00001398,2.9247266325224555e-76,WBGene00000857,1.0249444028718969e-55,WBGene00004285,4.49744285608514e-12,WBGene00006771,4.629429034145743e-71,WBGene00007048,2.1503779380321158e-44,WBGene00006890,1.3409954667617939e-17,WBGene00013711,1.4754099205635331e-08,WBGene00016405,5.1543511641130496e-46,WBGene00003163,3.480451312257455e-07,WBGene00002216,3.9919007757646496e-05,WBGene00010813,1.402264309238678e-07,WBGene00000876,1.4379287877553423e-28
16,WBGene00004913,3.28143338551289e-30,WBGene00004187,8.778254511929498e-41,WBGene00003048,5.323205641943463e-15,WBGene00016170,3.5686486951366597e-29,WBGene00003568,3.9746627575602235e-73,WBGene00006517,1.0270219501122044e-55,WBGene00000793,5.779859765170849e-12,WBGene00000776,5.5616756058490435e-71,WBGene00017085,3.5500801678142456e-43,WBGene00021628,6.276715387666482e-17,WBGene00015470,1.5237414961802116e-08,WBGene00000802,7.483703605369118e-46,WBGene00004091,5.380204077176524e-07,WBGene00000112,0.00013855891740665438,WBGene00001844,1.4349830738894912e-06,WBGene00008443,2.4473615694346356e-28
17,WBGene00006818,3.668120585144791e-30,WBGene00019940,5.07229408160407e-39,WBGene00007591,6.021863909205157e-15,WBGene00003776,4.2170207692717116e-29,WBGene00009122,3.309113604147603e-72,WBGene00000822,4.856046049218311e-55,WBGene00000518,5.791392573625525e-12,WBGene00001132,9.012520897020964e-70,WBGene00019947,1.4363038530050978e-41,WBGene00016716,2.7088634120332115e-16,WBGene00004285,1.9894916274418628e-08,WBGene00006626,7.837352531431852e-46,WBGene00016006,9.6884715618295e-07,WBGene00017885,0.0001428987494512935,WBGene00004921,2.289515608924566e-06,WBGene00022037,7.095629723460407e-28
18,WBGene00013518,4.2264396584405415e-30,WBGene00004482,1.1391580189197796e-37,WBGene00006468,6.41857259137207e-15,WBGene00022793,2.0807600434349064e-28,WBGene00004077,8.25697383519618e-71,WBGene00016918,1.5314185820726746e-53,WBGene00001171,9.2420151449816e-12,WBGene00000217,4.223035796209988e-67,WBGene00020821,1.03279262950611e-39,WBGene00007591,3.045974097072847e-16,WBGene00007984,2.0341414905013252e-08,WBGene00020031,2.6860120252888736e-44,WBGene00003858,1.9763342779340603e-06,WBGene00000110,0.00014631939248943291,WBGene00017016,2.879177438937079e-06,WBGene00004077,8.22700117395192e-28
19,WBGene00003569,7.079973303764259e-30,WBGene00004445,1.621718110132901e-37,WBGene00016006,6.4699892147980755e-15,WBGene00008800,8.938206068424771e-27,WBGene00010988,1.615325732784744e-70,WBGene00003949,1.8776179302221524e-53,WBGene00022435,2.2730227370883828e-11,WBGene00022048,2.4223346983455896e-66,WBGene00004186,5.4146996510651025e-39,WBGene00002173,3.348240788296181e-16,WBGene00009734,2.054701813890098e-08,WBGene00004875,2.9645707857260693e-44,WBGene00007696,2.739902687393575e-06,WBGene00004184,0.00016528071526431104,WBGene00011352,9.855290729255614e-06,WBGene00016879,1.7621960904452948e-27
20,WBGene00013416,1.1903351112184382e-29,WBGene00010478,2.7304542986034587e-35,WBGene00000566,1.2916166139165774e-14,WBGene00019760,1.9335625507788152e-25,WBGene00013225,1.8903868907972193e-70,WBGene00019305,6.043102169411434e-52,WBGene00009503,3.2555448660365235e-11,WBGene00011474,5.776969932499607e-61,WBGene00011308,1.3163767068583112e-38,WBGene00016006,9.794251227905e-16,WBGene00001508,2.3160113406484735e-08,WBGene00014215,9.772591260153483e-43,WBGene00009881,3.231194987282412e-06,WBGene00004207,0.0003067222901757666,WBGene00022240,1.3080795953272837e-05,WBGene00022358,2.0320136533006964e-27
21,WBGene00002190,1.2551550355189864e-29,WBGene00009122,8.643900560404954e-35,WBGene00003150,2.0153624652192863e-14,WBGene00020437,5.212436928480443e-25,WBGene00021312,7.873250573810996e-70,WBGene00015148,7.143848727864242e-52,WBGene00012644,4.825987844392855e-11,WBGene00011232,4.8428463418925236e-58,WBGene00016151,1.5300778321525437e-38,WBGene00020169,1.1456765929810045e-15,WBGene00000476,2.8796672777937493e-08,WBGene00004313,8.826718534560039e-42,WBGene00000228,4.607364098534131e-06,WBGene00013462,0.0004383808192804344,WBGene00004207,2.237824314637886e-05,WBGene00004375,5.8650771654772595e-27
22,WBGene00004276,1.3633104604362814e-29,WBGene00014165,2.1502501892891814e-33,WBGene00006496,4.029589748270983e-14,WBGene00004091,2.512096028833911e-24,WBGene00010810,1.9517967075154234e-69,WBGene00006527,1.8079146263306145e-51,WBGene00022240,7.467648917653644e-11,WBGene00010419,4.736129762041751e-57,WBGene00011605,2.82328121199378e-38,WBGene00019890,1.669546031583766e-15,WBGene00022435,3.708371503001424e-08,WBGene00021697,1.8437216221042405e-39,WBGene00012033,5.589514598884096e-06,WBGene00004245,0.00044650668560637576,WBGene00018281,2.3067185436375827e-05,WBGene00019821,7.030177081623082e-27
23,WBGene00004045,3.4069906490145246e-28,WBGene00004444,7.152403688223803e-31,WBGene00009532,7.755788375791439e-14,WBGene00001707,2.024353729905976e-22,WBGene00004091,2.1571581080824926e-69,WBGene00003951,2.0748185577905184e-51,WBGene00022647,9.032764130560948e-11,WBGene00006999,2.785744953275252e-54,WBGene00011638,1.5460025114051761e-37,WBGene00006519,1.727505997533575e-15,WBGene00001837,5.2243041664194066e-08,WBGene00020437,1.2185770543379077e-37,WBGene00009882,1.1092138245835732e-05,WBGene00018294,0.0004729530147785676,WBGene00004969,2.528729020955049e-05,WBGene00017885,7.9732951736963e-27
24,WBGene00019347,2.7994616034292382e-27,WBGene00000962,9.279866185451841e-31,WBGene00002203,1.1133905640206037e-13,WBGene00019322,1.454715968273549e-21,WBGene00012897,2.49476472795406e-69,WBGene00016006,1.2046302184644467e-50,WBGene00019434,1.7877270853505607e-10,WBGene00017864,2.8999989684216236e-54,WBGene00004187,8.100526292468978e-37,WBGene00018788,2.5346716287294286e-15,WBGene00013326,6.617493928802662e-08,WBGene00009542,1.766825227301427e-36,WBGene00003567,1.1702593758928612e-05,WBGene00003172,0.0005497563820511847,WBGene00013326,2.6020443829263216e-05,WBGene00003143,1.841818511433816e-26
25,WBGene00019434,5.516972338925288e-27,WBGene00000123,9.425966786034299e-31,WBGene00012796,2.2199528347141364e-13,WBGene00001412,2.1480657397970697e-21,WBGene00009978,3.5577251725929197e-69,WBGene00000112,1.5357105970099928e-50,WBGene00003166,3.2215999854109525e-10,WBGene00016630,1.8299437451613965e-53,WBGene00001423,4.050570959200795e-35,WBGene00016393,3.134540315578885e-15,WBGene00004875,8.531666712263541e-08,WBGene00004405,2.9085496283486647e-36,WBGene00006727,2.1829853614116306e-05,WBGene00001516,0.0005863364711669794,WBGene00003047,2.9255277337747816e-05,WBGene00002038,2.610198271352595e-26
26,WBGene00004088,9.15790581865262e-27,WBGene00021088,3.675064981836974e-30,WBGene00022389,2.864051595623813e-13,WBGene00010337,4.982971580180228e-21,WBGene00007591,5.804154909187878e-69,WBGene00001410,2.0336556682834835e-49,WBGene00013711,4.378655674547427e-10,WBGene00001794,1.517353345968342e-52,WBGene00019629,5.569952669479291e-35,WBGene00006920,3.2202179875570596e-15,WBGene00013111,8.771672473547692e-08,WBGene00002583,4.6803352797537645e-35,WBGene00006918,2.2774949650589214e-05,WBGene00017950,0.0007209606223406806,WBGene00004055,3.008622084991882e-05,WBGene00020530,2.929886723335513e-26
27,WBGene00002243,1.6130584923527465e-26,WBGene00003367,9.004300412549722e-29,WBGene00021597,1.5144208668343246e-12,WBGene00007696,9.043428436175891e-21,WBGene00006919,1.1459216665105274e-68,WBGene00006836,4.25747492035334e-49,WBGene00006818,4.553680514209104e-10,WBGene00000228,7.078244297371442e-49,WBGene00012896,1.4994504285147798e-34,WBGene00002203,1.0105000688724331e-14,WBGene00022240,9.000379413092342e-08,WBGene00001398,6.377171344404017e-34,WBGene00001620,2.3752311463172902e-05,WBGene00002203,0.0008260367751647404,WBGene00015478,4.1188663540357153e-05,WBGene00019877,3.072785474862132e-26
28,WBGene00000553,5.111513207100281e-25,WBGene00022538,2.4233913418419356e-28,WBGene00016611,2.446475021497024e-12,WBGene00021427,3.7994953527314337e-20,WBGene00022794,1.297688498729137e-68,WBGene00013595,5.512820861079339e-47,WBGene00018639,7.723049079870244e-10,WBGene00001604,1.2836176725710358e-44,WBGene00010627,1.8615160648381884e-34,WBGene00002980,2.1385228184231688e-14,WBGene00021185,1.0337539210018705e-07,WBGene00006438,1.1229766855605154e-33,WBGene00002980,3.060037580339142e-05,WBGene00004405,0.0010655295965091688,WBGene00013042,4.644346063916408e-05,WBGene00002217,3.544945115037554e-26
29,WBGene00017350,8.952351670859246e-25,WBGene00004491,7.219317912322346e-28,WBGene00020770,3.4888626342269356e-12,WBGene00020683,4.243175588769319e-20,WBGene00004049,1.0979947139399445e-67,WBGene00004184,2.4212208837740273e-46,WBGene00003969,8.115122094507958e-10,WBGene00006823,7.622356797725037e-43,WBGene00000875,2.08914836120984e-34,WBGene00006919,2.3083544095372183e-14,WBGene00021208,1.0444278363684692e-07,WBGene00000776,3.775448141616444e-33,WBGene00016630,3.520543853908925e-05,WBGene00004085,0.0010801880903049163,WBGene00000476,5.618112918246578e-05,WBGene00003961,5.497501022597053e-26
30,WBGene00018639,1.3778581351479065e-24,WBGene00006728,8.037285086672257e-27,WBGene00003911,5.623892719766596e-12,WBGene00019830,1.0500663403176633e-19,WBGene00001620,1.248958678574408e-67,WBGene00000368,6.4983313334359885e-46,WBGene00018281,1.0030555100736692e-09,WBGene00002497,1.9716076875543846e-42,WBGene00002027,3.082661976539775e-34,WBGene00012907,2.9022793621954776e-14,WBGene00000407,1.2646379276476927e-07,WBGene00001137,4.035625445486273e-33,WBGene00015168,3.8728430448611846e-05,WBGene00022727,0.0011484221602631017,WBGene00009734,5.732520056170798e-05,WBGene00020770,6.16739763775262e-26
31,WBGene00018281,5.666495172148576e-24,WBGene00009119,3.5337930465614255e-26,WBGene00002038,7.544339658371951e-12,WBGene00001333,8.696106063030553e-19,WBGene00009881,1.6037705178345163e-67,WBGene00017885,1.347004736130984e-45,WBGene00013326,1.7884092287997462e-09,WBGene00006836,2.089314065942108e-41,WBGene00007027,5.0420051574065425e-34,WBGene00012193,4.544527717513516e-14,WBGene00004368,1.3355458657674332e-07,WBGene00003964,7.216866272766938e-33,WBGene00006890,4.162479551317319e-05,WBGene00006383,0.0012401489178263882,WBGene00004285,6.253382487673875e-05,WBGene00006373,8.638364436635336e-26
