,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
10,WBGene00003404,4.860164827483875e-39,WBGene00010564,5.093511254193181e-88,WBGene00020915,2.0239027285314192e-43,WBGene00022122,1.7702597245002005e-37,WBGene00004345,1.513891939798e-21,WBGene00008547,5.835648547780726e-56,WBGene00004213,3.913021691158644e-11,WBGene00016913,1.4811936623422345e-85,WBGene00009671,5.820938813882472e-56,WBGene00016583,4.73734681068953e-10,WBGene00001516,1.7430456163390523e-09,WBGene00001333,3.425597496433566e-53,WBGene00012203,4.119967552045287e-05,WBGene00016258,1.1722915821032465e-08,WBGene00000814,2.005661647830156e-28,WBGene00006791,5.047002334769501e-08
11,WBGene00000086,8.113524637738941e-39,WBGene00008143,3.227521564682472e-86,WBGene00019940,2.1599433257656423e-41,WBGene00001073,1.1627340343513897e-36,WBGene00017973,5.6352549940691904e-21,WBGene00006527,3.6355980727203565e-55,WBGene00002203,5.33251589764916e-11,WBGene00000229,5.4063318280091e-83,WBGene00017605,2.266254974720168e-48,WBGene00006503,9.72126766998816e-10,WBGene00012360,3.343434412208333e-09,WBGene00002007,9.277529484794303e-53,WBGene00001558,4.921078794845571e-05,WBGene00010130,1.514678965255952e-08,WBGene00019821,9.878871231722414e-28,WBGene00001005,5.161466314712309e-08
12,WBGene00001679,4.747168682653107e-36,WBGene00009334,4.1917039168016084e-86,WBGene00004187,8.86905440196884e-40,WBGene00006367,2.504397593494214e-33,WBGene00022647,4.401134900502734e-19,WBGene00000857,5.8029879635021526e-55,WBGene00006496,3.103246917333138e-10,WBGene00018701,4.0720373923734824e-79,WBGene00009200,2.2315866786569018e-47,WBGene00004272,1.3215600425842375e-09,WBGene00016407,8.123663768172414e-09,WBGene00002025,2.5540607375307156e-49,WBGene00020209,5.1103065512748264e-05,WBGene00003858,1.058698402634042e-07,WBGene00000876,1.1198290002502016e-27,WBGene00018700,6.284341088784283e-08
13,WBGene00013416,1.1867311774716298e-33,WBGene00014051,7.739854001485733e-85,WBGene00004441,2.4681563555397495e-39,WBGene00021644,2.9281339668598622e-33,WBGene00019434,7.257522075480902e-18,WBGene00016918,6.781177765326885e-55,WBGene00002039,7.057289819644625e-10,WBGene00016716,2.7694006346294453e-76,WBGene00007048,3.4690982028359273e-47,WBGene00001837,4.823748471584203e-09,WBGene00006444,8.545484947616949e-09,WBGene00016415,4.723206185933841e-49,WBGene00008149,5.3867640979303974e-05,WBGene00004855,2.0563343715605181e-07,WBGene00022361,1.6233740722607144e-27,WBGene00015418,6.76829612642661e-08
14,WBGene00003569,5.650494221174343e-31,WBGene00021628,6.515829804449805e-83,WBGene00010627,5.649947496276851e-39,WBGene00016170,3.887261690346676e-32,WBGene00013711,1.2383672400759885e-17,WBGene00003949,2.7596270590539674e-52,WBGene00013416,8.033585146677977e-09,WBGene00016918,3.641152089900609e-76,WBGene00020031,2.474340512691708e-46,WBGene00001604,5.491181182261654e-09,WBGene00022358,1.3345903760709177e-08,WBGene00019060,9.344281931424349e-48,WBGene00000403,9.386352712727203e-05,WBGene00020146,2.7009769037986574e-07,WBGene00006444,1.732968538088682e-27,WBGene00002978,8.42141494632776e-07
15,WBGene00004267,5.652128907236996e-28,WBGene00004445,2.0913923907498305e-82,WBGene00009122,1.8812742697659766e-38,WBGene00020216,9.431488453205553e-31,WBGene00022435,1.9387386190385382e-17,WBGene00015148,7.521221597782645e-51,WBGene00006476,2.2811352174756782e-08,WBGene00006771,5.189932605319214e-74,WBGene00012484,2.814141997113101e-43,WBGene00009734,3.40043758316114e-08,WBGene00008547,1.3713230501000403e-08,WBGene00016405,1.8049972785954247e-47,WBGene00008143,0.00011045462913001395,WBGene00001368,3.049927642923853e-07,WBGene00004302,2.0462054589395884e-27,WBGene00011261,1.2245449455043193e-05
16,WBGene00002190,3.362714986337654e-27,WBGene00002173,2.4267525864604146e-82,WBGene00004445,7.35360685652712e-38,WBGene00003776,1.5407728817224707e-29,WBGene00009503,2.0944027804957125e-17,WBGene00006517,3.913392769568025e-50,WBGene00013135,5.890626655469238e-08,WBGene00000776,9.071263533036277e-73,WBGene00019947,3.817180493644417e-43,WBGene00007984,4.714471075640803e-08,WBGene00004831,6.673467719874806e-08,WBGene00000802,5.384013437850995e-46,WBGene00004929,0.0001516859229756249,WBGene00012033,8.906655029392246e-07,WBGene00005019,4.895574289403319e-27,WBGene00003569,1.651022611254546e-05
17,WBGene00001335,1.2669824066865029e-26,WBGene00007591,1.4620290623779157e-81,WBGene00013766,9.033346381872912e-37,WBGene00022793,1.8720026282991793e-28,WBGene00010813,2.4034559372925306e-17,WBGene00011283,4.55717698881397e-50,WBGene00007591,9.731034127514463e-08,WBGene00001132,1.1100214941527087e-68,WBGene00017085,7.172195800977182e-42,WBGene00001377,5.390615021025981e-08,WBGene00008121,4.2959640514412077e-07,WBGene00006626,4.6867157142410204e-45,WBGene00022391,0.00015628562998583738,WBGene00001558,1.0251394680744597e-06,WBGene00010317,5.707677933045342e-27,WBGene00018330,8.629297730801494e-05
18,WBGene00004276,4.985583194720272e-25,WBGene00020169,3.1659886425771106e-81,WBGene00000229,4.2565922949826516e-36,WBGene00008800,6.76851720458832e-27,WBGene00017350,6.865835168484482e-17,WBGene00013289,7.886155378263048e-50,WBGene00001516,3.2752938601785087e-07,WBGene00022048,4.190827788437839e-67,WBGene00020821,1.780166374232305e-40,WBGene00004285,1.1171645550653226e-07,WBGene00003172,5.127428801487014e-07,WBGene00004875,3.720041142828581e-44,WBGene00016937,0.00023268516616887545,WBGene00004091,2.0362328490508077e-06,WBGene00019487,6.1697624835207624e-27,WBGene00021901,8.677113535720423e-05
19,WBGene00013042,7.685533000766916e-25,WBGene00006919,4.209921161017575e-80,WBGene00010478,2.915684884756255e-35,WBGene00019760,7.610075075547036e-27,WBGene00006818,3.5742279709144286e-16,WBGene00000114,8.968221557677106e-50,WBGene00000566,4.796922785819315e-07,WBGene00000217,6.509330901402303e-67,WBGene00016151,7.776732177992707e-40,WBGene00004766,1.3180182743030093e-07,WBGene00016735,9.444769633519242e-07,WBGene00020031,7.709012237917312e-44,WBGene00006373,0.00033861415602323214,WBGene00000542,4.144864159544762e-06,WBGene00013135,7.875147480201333e-27,WBGene00016725,8.982332747440115e-05
