,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p
57,ENSDARG00000079886,1.9286897778162383e-36,ENSDARG00000031796,9.09892707625499e-21,ENSDARG00000013475,1.7243211793200076e-48,ENSDARG00000027172,3.3873396805275365e-17,ENSDARG00000074246,8.499671276211346e-34,ENSDARG00000079313,1.6088349455572948e-44,ENSDARG00000087784,8.383781605727414e-10,ENSDARG00000061235,2.9999314127229293e-30,ENSDARG00000055477,1.7639600232051992e-97,ENSDARG00000028088,7.400548037347334e-09,ENSDARG00000045913,2.983838781832765e-177,ENSDARG00000014506,1.7692487330096286e-45,ENSDARG00000062568,4.231785747282328e-135,ENSDARG00000003531,3.04493972403429e-216,ENSDARG00000006915,1.2269317727570625e-11,ENSDARG00000060288,1.5761635301110706e-05,ENSDARG00000007808,1.6666522528048468e-07,ENSDARG00000071211,1.0669473175025498e-21,ENSDARG00000099730,1.0862655707313961e-06,ENSDARG00000071211,5.75109374629136e-12,ENSDARG00000031657,3.620374651704716e-16,ENSDARG00000078606,0.000863149219852861,ENSDARG00000078599,0.0013583689743206257,ENSDARG00000005840,2.734831070724697e-95,ENSDARG00000039041,8.859301946103498e-05,ENSDARG00000017454,5.714197916010381e-85,ENSDARG00000011272,1.2340753205614219e-45,ENSDARG00000075446,5.373671322632576e-13,ENSDARG00000019355,1.5242245464685998e-05
58,ENSDARG00000057736,2.5108790942508413e-36,ENSDARG00000103095,9.162052301186645e-21,ENSDARG00000037640,4.6474840324937903e-48,ENSDARG00000008735,4.5539901227924377e-17,ENSDARG00000063031,2.7339778223895026e-33,ENSDARG00000037358,2.0051248539505926e-44,ENSDARG00000103787,9.41702830953079e-10,ENSDARG00000009830,7.950676520005121e-30,ENSDARG00000015315,1.6108464241040552e-95,ENSDARG00000103095,9.866424046388479e-09,ENSDARG00000025338,1.0690235230444991e-175,ENSDARG00000054213,2.117089649173341e-45,ENSDARG00000008188,2.3174762220803735e-132,ENSDARG00000013938,1.2254105124057265e-213,ENSDARG00000043905,1.2566001213132409e-11,ENSDARG00000040198,1.6957883321148614e-05,ENSDARG00000055357,1.8574153336388662e-07,ENSDARG00000007745,2.3925830981205196e-21,ENSDARG00000021346,1.1765152246579015e-06,ENSDARG00000026376,1.0164009730002427e-11,ENSDARG00000019496,2.0716933015110746e-15,ENSDARG00000043288,0.0008667900122809749,ENSDARG00000060501,0.001382510316026889,ENSDARG00000005945,3.4492768679025245e-95,ENSDARG00000005372,9.227781463862331e-05,ENSDARG00000004785,7.504096635492048e-85,ENSDARG00000092858,5.612198942786625e-45,ENSDARG00000077121,5.404105516804589e-13,ENSDARG00000104242,1.8165825687467498e-05
59,ENSDARG00000031796,2.6695628966225355e-36,ENSDARG00000036073,9.83473215855936e-21,ENSDARG00000003693,1.5355109494132213e-47,ENSDARG00000099730,5.705008866015064e-17,ENSDARG00000063167,1.0082612308717974e-32,ENSDARG00000035167,2.7307166420887563e-44,ENSDARG00000009488,1.0404260279883044e-09,ENSDARG00000103095,9.318504941708206e-30,ENSDARG00000002240,1.2515465973670676e-94,ENSDARG00000040803,1.0967611930734155e-08,ENSDARG00000012946,3.09753168276461e-173,ENSDARG00000102822,7.215688420372052e-45,ENSDARG00000010051,4.2640014458368865e-131,ENSDARG00000010051,1.0088947137946235e-212,ENSDARG00000036942,1.8206415091747894e-11,ENSDARG00000051934,1.7863916836080615e-05,ENSDARG00000006639,2.68198610062983e-07,ENSDARG00000103271,3.1981223390362204e-21,ENSDARG00000042853,1.6450043446240285e-06,ENSDARG00000102412,2.0380254882271797e-11,ENSDARG00000042630,3.1190487410864996e-15,ENSDARG00000060288,0.0008718865957207425,ENSDARG00000015221,0.0014052308740009998,ENSDARG00000012450,2.3534505235178872e-94,ENSDARG00000042544,0.00010516268801637043,ENSDARG00000039543,8.026099125137813e-85,ENSDARG00000102883,1.0312356244056383e-44,ENSDARG00000045342,5.507448705715782e-13,ENSDARG00000020895,2.1748910300071384e-05
60,ENSDARG00000102056,5.0696822537848574e-36,ENSDARG00000060288,1.1495668677103042e-20,ENSDARG00000043304,4.3649450251298354e-47,ENSDARG00000015221,9.554276897272146e-17,ENSDARG00000038787,1.2264315935750561e-32,ENSDARG00000061580,1.2887700562699863e-43,ENSDARG00000070151,1.0924380212270034e-09,ENSDARG00000060069,5.561040474310922e-29,ENSDARG00000061774,2.2565099198845664e-93,ENSDARG00000104508,1.1106451400322619e-08,ENSDARG00000100514,1.2496750181380563e-171,ENSDARG00000079783,4.488547228519806e-44,ENSDARG00000026072,9.051701721210673e-126,ENSDARG00000010965,1.719204634295092e-202,ENSDARG00000028322,2.4375487782468683e-11,ENSDARG00000079886,1.825887747905031e-05,ENSDARG00000018658,2.80840239342397e-07,ENSDARG00000017781,1.975186053098018e-20,ENSDARG00000052371,1.7765176145302483e-06,ENSDARG00000041644,2.774241204117826e-11,ENSDARG00000038312,7.734259036890969e-15,ENSDARG00000062868,0.0009456206089887339,ENSDARG00000039215,0.0016572219681751234,ENSDARG00000070686,3.278933598492974e-93,ENSDARG00000010276,0.00011107668005664967,ENSDARG00000054609,5.401055008108858e-84,ENSDARG00000099730,3.514139534255344e-42,ENSDARG00000020228,5.598444531723081e-13,ENSDARG00000103831,2.2700123205024124e-05
61,ENSDARG00000097478,5.2707160878194064e-36,ENSDARG00000091576,1.4174597923527487e-20,ENSDARG00000101560,8.24202471813464e-47,ENSDARG00000103095,1.0075578122143127e-16,ENSDARG00000031200,1.2733180620638195e-32,ENSDARG00000012625,1.7908752715661702e-43,ENSDARG00000104768,1.1838043479544778e-09,ENSDARG00000042630,5.962093217212244e-29,ENSDARG00000032296,9.423690158051343e-91,ENSDARG00000087784,1.834953579872094e-08,ENSDARG00000003189,1.2616571838544275e-171,ENSDARG00000105018,6.403097474392988e-44,ENSDARG00000038456,5.62246321990296e-125,ENSDARG00000041155,6.61058202966522e-202,ENSDARG00000016128,4.087755479315047e-11,ENSDARG00000032431,2.876297538906325e-05,ENSDARG00000009488,2.8213065727660406e-07,ENSDARG00000103226,3.9767323511581705e-20,ENSDARG00000104733,2.210335775234732e-06,ENSDARG00000053405,5.7818514352947475e-11,ENSDARG00000026024,8.458803929816975e-14,ENSDARG00000098766,0.0010438404008041842,ENSDARG00000103095,0.0016641170921577358,ENSDARG00000010381,9.432008237917718e-93,ENSDARG00000009299,0.0001157154820262389,ENSDARG00000102874,9.391441244825526e-84,ENSDARG00000021488,7.337232983200684e-42,ENSDARG00000025518,5.925471538159661e-13,ENSDARG00000100435,2.2740394035762846e-05
62,ENSDARG00000045482,6.506936831103389e-36,ENSDARG00000040198,1.8028160422071266e-20,ENSDARG00000063100,3.309164491937172e-46,ENSDARG00000008377,1.0795305947235233e-16,ENSDARG00000001557,1.3476915104906613e-32,ENSDARG00000037928,4.100404482097887e-43,ENSDARG00000063031,1.5428748927951311e-09,ENSDARG00000016233,2.0804019530944085e-28,ENSDARG00000059373,2.826518000883582e-90,ENSDARG00000098766,2.0376079566397725e-08,ENSDARG00000006125,2.1051219770850088e-169,ENSDARG00000062363,2.96791879383501e-43,ENSDARG00000008785,1.3459971189248064e-123,ENSDARG00000102798,9.846737033598884e-198,ENSDARG00000079271,5.574644789997187e-11,ENSDARG00000061580,2.9670254090413768e-05,ENSDARG00000023396,3.5717758409581605e-07,ENSDARG00000102202,2.0737104337652592e-19,ENSDARG00000031796,2.4753068828254213e-06,ENSDARG00000074663,7.580865658948482e-11,ENSDARG00000026376,9.433674270832511e-14,ENSDARG00000020143,0.001215102884167202,ENSDARG00000007624,0.0017255600832202628,ENSDARG00000104508,2.4462258970878556e-92,ENSDARG00000079886,0.00011871519115198333,ENSDARG00000021442,2.9265181857670242e-83,ENSDARG00000043209,7.077691630902193e-41,ENSDARG00000012495,6.043535177764913e-13,ENSDARG00000001558,2.2969882745831324e-05
63,ENSDARG00000007808,1.0944657220083067e-35,ENSDARG00000103025,2.4401150447004843e-20,ENSDARG00000023852,2.837597283732524e-45,ENSDARG00000038429,1.1694727313780354e-16,ENSDARG00000042717,2.234176582863249e-32,ENSDARG00000041665,1.862418803532019e-42,ENSDARG00000040466,1.7638037428040814e-09,ENSDARG00000056152,2.2481436697405794e-28,ENSDARG00000029011,5.2516548162785205e-90,ENSDARG00000020822,2.0915865689937667e-08,ENSDARG00000025404,2.0226113959961526e-168,ENSDARG00000026072,4.280708430987586e-43,ENSDARG00000003207,2.6843615798551827e-122,ENSDARG00000099730,7.117996418397718e-197,ENSDARG00000019353,6.722481057225206e-11,ENSDARG00000020845,3.796325784438845e-05,ENSDARG00000016233,4.0043132686925955e-07,ENSDARG00000039269,4.2480548061719785e-19,ENSDARG00000061579,2.6491088314001974e-06,ENSDARG00000055976,8.167859641136396e-11,ENSDARG00000060069,5.839532245933362e-13,ENSDARG00000079854,0.0013894376727963378,ENSDARG00000012763,0.0017792000919264477,ENSDARG00000041155,1.0056779231225114e-90,ENSDARG00000070487,0.00012339488755745722,ENSDARG00000015254,4.4166263992498986e-83,ENSDARG00000041155,7.519149634336317e-41,ENSDARG00000078075,6.055632918304093e-13,ENSDARG00000004774,2.6069178773558017e-05
64,ENSDARG00000033184,1.1523381744192928e-35,ENSDARG00000035149,2.853489627033174e-20,ENSDARG00000089637,1.5841667269356146e-44,ENSDARG00000002405,1.176681788920713e-16,ENSDARG00000000503,2.3122861845499553e-32,ENSDARG00000078653,2.306828705615603e-42,ENSDARG00000002405,1.960315486741188e-09,ENSDARG00000029036,5.451872422882561e-28,ENSDARG00000057683,1.9373352133970284e-89,ENSDARG00000009473,2.0938998150319783e-08,ENSDARG00000061854,5.479097652509625e-168,ENSDARG00000035835,4.741350956032808e-43,ENSDARG00000024398,2.5428305486706325e-121,ENSDARG00000053485,2.2223841291154402e-194,ENSDARG00000032431,7.248160219156104e-11,ENSDARG00000011299,4.363120714603287e-05,ENSDARG00000018600,4.007820393232108e-07,ENSDARG00000060362,4.38011815540494e-19,ENSDARG00000038910,3.928351299013878e-06,ENSDARG00000099116,8.907290814118224e-11,ENSDARG00000025338,1.508392934083056e-12,ENSDARG00000000861,0.0014296959568456135,ENSDARG00000063031,0.00190566715850015,ENSDARG00000052408,2.1506309648507804e-90,ENSDARG00000062558,0.0001453390961745975,ENSDARG00000017658,8.221969010023178e-83,ENSDARG00000015208,9.80842907214215e-41,ENSDARG00000100244,6.135407291872135e-13,ENSDARG00000037433,3.147355472877448e-05
65,ENSDARG00000044781,1.3612060468256102e-35,ENSDARG00000010773,3.737685446184048e-20,ENSDARG00000059150,7.19394148106929e-43,ENSDARG00000007760,1.6606571274585813e-16,ENSDARG00000035544,1.377245981737029e-31,ENSDARG00000062594,3.1469966049506956e-42,ENSDARG00000056101,3.2343582603644766e-09,ENSDARG00000020201,1.142557395234036e-27,ENSDARG00000017454,4.0386874816709985e-89,ENSDARG00000035505,2.1002788516652545e-08,ENSDARG00000079632,3.074332557540075e-164,ENSDARG00000037962,9.152721077923766e-43,ENSDARG00000001940,2.756494878873812e-121,ENSDARG00000057683,2.9213648800987582e-192,ENSDARG00000007867,9.023186464272953e-11,ENSDARG00000078599,4.4006417930042575e-05,ENSDARG00000057035,4.3183588268521056e-07,ENSDARG00000019496,1.0760442088932123e-18,ENSDARG00000034777,4.825139814496884e-06,ENSDARG00000056583,9.686017725863572e-11,ENSDARG00000029874,1.5538489050493163e-12,ENSDARG00000009209,0.001462260994877726,ENSDARG00000068246,0.0019812366265645567,ENSDARG00000021607,5.46715391717643e-90,ENSDARG00000077353,0.000157556461324431,ENSDARG00000002403,1.1312274164229403e-82,ENSDARG00000045913,3.13208052184035e-39,ENSDARG00000009488,6.631963368601713e-13,ENSDARG00000021120,3.1786125415931435e-05
66,ENSDARG00000043571,2.1400528019500207e-35,ENSDARG00000061580,4.9017263947850755e-20,ENSDARG00000004436,3.2282731154709126e-42,ENSDARG00000061375,1.7976197343704796e-16,ENSDARG00000056101,5.201596371754788e-31,ENSDARG00000036820,3.7357399521540094e-42,ENSDARG00000043571,3.789524374486651e-09,ENSDARG00000044972,8.96929534791649e-27,ENSDARG00000054696,1.2676133034278418e-88,ENSDARG00000028276,2.9272577535514192e-08,ENSDARG00000105010,2.2130076180667466e-163,ENSDARG00000077264,1.165718865549905e-42,ENSDARG00000089836,5.0732782435396084e-121,ENSDARG00000043511,1.4769779468010025e-190,ENSDARG00000098224,1.025440603436797e-10,ENSDARG00000058076,4.597227518302256e-05,ENSDARG00000055433,4.463860603796804e-07,ENSDARG00000036684,2.0212195523180697e-18,ENSDARG00000014506,5.146615269746251e-06,ENSDARG00000036684,1.3180738828615409e-10,ENSDARG00000098766,1.7809040440140224e-12,ENSDARG00000014430,0.001519056956467587,ENSDARG00000058076,0.0019857675299318795,ENSDARG00000023950,9.074906863886144e-90,ENSDARG00000058226,0.0001584034739879334,ENSDARG00000008480,4.851916272362553e-82,ENSDARG00000055472,3.831650796502303e-39,ENSDARG00000071198,7.323152959454582e-13,ENSDARG00000004251,3.2708395908700944e-05
67,ENSDARG00000012763,2.2045097935819097e-35,ENSDARG00000025332,5.8813573677133e-20,ENSDARG00000071652,6.09349055500926e-42,ENSDARG00000031796,3.27952139361004e-16,ENSDARG00000018782,5.988811706183287e-31,ENSDARG00000013016,8.64106788748118e-42,ENSDARG00000019228,4.197832728818765e-09,ENSDARG00000038787,1.598529893369156e-26,ENSDARG00000030716,1.7699304067311745e-88,ENSDARG00000023958,3.109526830502795e-08,ENSDARG00000055524,1.4060059270979872e-161,ENSDARG00000002745,2.5688593884999077e-42,ENSDARG00000003693,3.9309200282974272e-118,ENSDARG00000016443,6.466963570773251e-188,ENSDARG00000042115,1.051092746756535e-10,ENSDARG00000028276,5.1646642147690375e-05,ENSDARG00000021209,4.701969192875016e-07,ENSDARG00000028889,3.197830849770935e-17,ENSDARG00000045888,5.555158633043837e-06,ENSDARG00000058226,1.3307489364560755e-10,ENSDARG00000102412,4.657822987085404e-12,ENSDARG00000029911,0.0015315761186472955,ENSDARG00000019228,0.0020318341054780253,ENSDARG00000037188,1.5857887388759645e-89,ENSDARG00000021343,0.00016306982215566628,ENSDARG00000094010,5.511703815371707e-82,ENSDARG00000102056,4.4503150900246736e-39,ENSDARG00000060868,7.573010647627085e-13,ENSDARG00000051800,3.341551111008452e-05
68,ENSDARG00000040803,2.944594032944294e-35,ENSDARG00000028276,6.800421213132594e-20,ENSDARG00000015921,1.1624472876836923e-41,ENSDARG00000060288,3.5178609802043117e-16,ENSDARG00000023578,7.074623291254889e-31,ENSDARG00000023967,2.1297886998413805e-41,ENSDARG00000057035,5.205525647974846e-09,ENSDARG00000074572,1.937487600860314e-26,ENSDARG00000018476,2.3076129860434727e-88,ENSDARG00000011299,3.222309191553871e-08,ENSDARG00000028213,3.7060937157709257e-160,ENSDARG00000021343,3.216196933771284e-42,ENSDARG00000008200,2.1684366474469286e-112,ENSDARG00000077620,2.83216608763842e-187,ENSDARG00000019339,1.0717892888652087e-10,ENSDARG00000022939,5.518924428123268e-05,ENSDARG00000098942,5.930023366910115e-07,ENSDARG00000100531,1.347078734665897e-16,ENSDARG00000039456,5.714678560107613e-06,ENSDARG00000008568,1.7374692002380137e-10,ENSDARG00000035872,1.881791329022379e-11,ENSDARG00000034801,0.001629776385824476,ENSDARG00000040803,0.002075334350410187,ENSDARG00000037559,8.462782497588378e-89,ENSDARG00000037267,0.0001741980498812994,ENSDARG00000005643,1.0141773551910671e-81,ENSDARG00000053326,9.109967131559782e-39,ENSDARG00000102184,7.652944955581299e-13,ENSDARG00000036144,3.675327828920431e-05
69,ENSDARG00000042115,5.867128484020767e-35,ENSDARG00000007808,7.316423104068534e-20,ENSDARG00000061228,1.542231778983157e-41,ENSDARG00000070567,4.171278381060048e-16,ENSDARG00000063030,1.7015171428978287e-30,ENSDARG00000077353,2.2545314953037279e-41,ENSDARG00000011299,5.720391350059272e-09,ENSDARG00000007808,3.3591063431189464e-26,ENSDARG00000052190,7.605020356369158e-88,ENSDARG00000091576,3.360209221384491e-08,ENSDARG00000103118,6.109284960397347e-160,ENSDARG00000038768,2.970274117649122e-41,ENSDARG00000039980,9.848882947114891e-112,ENSDARG00000015921,6.205343046818235e-185,ENSDARG00000042840,1.509718230977306e-10,ENSDARG00000018658,6.0007194050594695e-05,ENSDARG00000058696,5.999111573352495e-07,ENSDARG00000089717,1.427013579773961e-16,ENSDARG00000078077,9.567282820174811e-06,ENSDARG00000053485,6.31227938558169e-10,ENSDARG00000038881,2.7278416868799292e-11,ENSDARG00000099996,0.0016560299958831124,ENSDARG00000069157,0.0021683883427799358,ENSDARG00000008188,1.9569940042766057e-88,ENSDARG00000039279,0.0002217986264407984,ENSDARG00000037559,1.1091375314916732e-81,ENSDARG00000002174,7.905255307626299e-38,ENSDARG00000078458,9.568707029717315e-13,ENSDARG00000061629,3.7072656097412226e-05
70,ENSDARG00000087556,6.016007938461635e-35,ENSDARG00000055129,1.1619427388657033e-19,ENSDARG00000055477,1.9402280657335525e-41,ENSDARG00000045482,5.160343468470131e-16,ENSDARG00000089717,2.6688949515995947e-30,ENSDARG00000035066,3.416168456263959e-41,ENSDARG00000079854,6.720753285760377e-09,ENSDARG00000058597,1.1002722064839426e-25,ENSDARG00000010596,2.0068179757669264e-87,ENSDARG00000014273,3.4170312278245924e-08,ENSDARG00000061490,1.8768464178414426e-156,ENSDARG00000068305,5.62934751442595e-41,ENSDARG00000044852,4.616190961189075e-110,ENSDARG00000010149,2.6138677632295346e-184,ENSDARG00000009436,1.9969285519485357e-10,ENSDARG00000104733,6.999503646465098e-05,ENSDARG00000078308,1.065151827520689e-06,ENSDARG00000010149,1.9961360111368505e-16,ENSDARG00000043402,1.0944377363966143e-05,ENSDARG00000052170,6.730962408992735e-10,ENSDARG00000018426,2.816746665447794e-11,ENSDARG00000022410,0.001854167046797453,ENSDARG00000011299,0.0023923418843499384,ENSDARG00000037503,6.144683427367337e-88,ENSDARG00000078619,0.0002227506663710806,ENSDARG00000070019,1.6038626283192937e-81,ENSDARG00000043357,2.179236655318861e-37,ENSDARG00000086691,9.827809892149966e-13,ENSDARG00000076518,4.327362587172047e-05
71,ENSDARG00000011122,7.072889916529812e-35,ENSDARG00000012763,1.9601362905785295e-19,ENSDARG00000103799,2.08191059909652e-41,ENSDARG00000017115,5.748959475614649e-16,ENSDARG00000040803,4.828850131097422e-30,ENSDARG00000013095,4.147721675002111e-40,ENSDARG00000030614,6.749300994950602e-09,ENSDARG00000095459,4.407733400129072e-25,ENSDARG00000058230,2.785146299860956e-87,ENSDARG00000038075,3.525040430011506e-08,ENSDARG00000018124,3.455461388464439e-156,ENSDARG00000043467,8.292064710226606e-41,ENSDARG00000002523,1.2516934302776233e-109,ENSDARG00000101560,2.6913925729099382e-183,ENSDARG00000016513,2.433928364294748e-10,ENSDARG00000007382,7.30692435685728e-05,ENSDARG00000070448,1.1142982511158586e-06,ENSDARG00000074552,9.366610868153485e-16,ENSDARG00000032117,1.111048985280784e-05,ENSDARG00000018002,8.245695002976022e-10,ENSDARG00000102202,4.871992827849314e-11,ENSDARG00000079886,0.0018803083937445407,ENSDARG00000091576,0.002462904706963575,ENSDARG00000026664,1.7016392485195308e-87,ENSDARG00000074287,0.0002242698091391148,ENSDARG00000004436,2.68699159644656e-81,ENSDARG00000104487,1.0873254340936221e-36,ENSDARG00000043094,1.080194659191279e-12,ENSDARG00000071652,4.6149035998191686e-05
72,ENSDARG00000102059,1.2124735380846172e-34,ENSDARG00000024324,4.825218015789602e-19,ENSDARG00000039543,2.2949608477118835e-41,ENSDARG00000101216,8.245258972704108e-16,ENSDARG00000039754,1.6246034715901312e-29,ENSDARG00000100170,6.64636343788764e-40,ENSDARG00000039456,6.999275714155871e-09,ENSDARG00000053619,6.120580692411226e-25,ENSDARG00000039543,2.790243236471901e-87,ENSDARG00000014430,3.829219189675711e-08,ENSDARG00000054793,6.017364025466578e-155,ENSDARG00000098080,8.817948900725342e-41,ENSDARG00000077870,3.198061135649644e-108,ENSDARG00000015757,6.078721465923371e-178,ENSDARG00000103271,2.709640400378192e-10,ENSDARG00000012763,8.46054609518019e-05,ENSDARG00000043727,1.1154708111879565e-06,ENSDARG00000007526,1.4158851285652522e-15,ENSDARG00000043665,1.2071245820350946e-05,ENSDARG00000069157,6.436300634494936e-09,ENSDARG00000018002,5.16137884943033e-11,ENSDARG00000102059,0.001904070983164891,ENSDARG00000052271,0.0024780261823791824,ENSDARG00000004161,4.156542731468007e-87,ENSDARG00000060994,0.0002377784224583427,ENSDARG00000052695,3.7419758720579945e-80,ENSDARG00000076439,8.171803124308278e-36,ENSDARG00000021442,1.1101256095839183e-12,ENSDARG00000013095,4.6724812982795066e-05
73,ENSDARG00000017115,1.299552638334935e-34,ENSDARG00000002405,8.459232902146156e-19,ENSDARG00000042520,4.328551059200359e-41,ENSDARG00000079886,8.619763375529891e-16,ENSDARG00000056102,1.9416725992471503e-29,ENSDARG00000019355,7.55506798865359e-40,ENSDARG00000007916,7.341295588329956e-09,ENSDARG00000004843,1.5151039893401484e-24,ENSDARG00000043631,3.7524004320315977e-87,ENSDARG00000025518,3.94863221809371e-08,ENSDARG00000074790,1.649990345819731e-154,ENSDARG00000074301,2.006683550958897e-40,ENSDARG00000098280,3.4009837292312016e-106,ENSDARG00000045913,1.9246938635751387e-177,ENSDARG00000087229,4.2738644386409397e-10,ENSDARG00000037267,8.545715390175888e-05,ENSDARG00000035578,1.19210623175617e-06,ENSDARG00000013333,1.757673274204438e-15,ENSDARG00000028276,1.278393224353408e-05,ENSDARG00000098588,6.6615268234486315e-09,ENSDARG00000028322,8.349942376461543e-11,ENSDARG00000031796,0.0019310102702756705,ENSDARG00000028982,0.0024849803715997596,ENSDARG00000042642,6.209238428193753e-87,ENSDARG00000104702,0.00023884137648763517,ENSDARG00000039667,1.6715077048492446e-79,ENSDARG00000013122,1.2610312689477727e-34,ENSDARG00000040727,1.2727659715125483e-12,ENSDARG00000054530,4.754032375385551e-05
74,ENSDARG00000039279,1.6035420594874733e-34,ENSDARG00000055314,9.003308421776814e-19,ENSDARG00000055639,5.109544320952704e-41,ENSDARG00000052515,1.4968380424603235e-15,ENSDARG00000009480,2.2515370919299574e-29,ENSDARG00000006242,1.0686165529306133e-39,ENSDARG00000090654,7.846270235776051e-09,ENSDARG00000005355,4.601326153482969e-24,ENSDARG00000038882,1.574483715543744e-85,ENSDARG00000036092,4.967666155045983e-08,ENSDARG00000013968,1.7501009192426994e-154,ENSDARG00000033609,3.3548422673223943e-40,ENSDARG00000037188,7.34491497149898e-106,ENSDARG00000008785,8.806383916826949e-175,ENSDARG00000039980,5.202868090065355e-10,ENSDARG00000005897,8.576489607408718e-05,ENSDARG00000070390,1.2462899875357187e-06,ENSDARG00000042853,4.227234199385485e-15,ENSDARG00000009473,1.3590953943100006e-05,ENSDARG00000038359,6.781560960086805e-09,ENSDARG00000010773,1.1308696972817487e-10,ENSDARG00000045482,0.0019661212636854354,ENSDARG00000040466,0.0024911148231695534,ENSDARG00000063145,9.79459998304695e-87,ENSDARG00000045515,0.00029288588811968397,ENSDARG00000005359,2.6235525831825365e-79,ENSDARG00000039980,2.037911577024163e-34,ENSDARG00000059234,1.3859501704582221e-12,ENSDARG00000041570,5.6988600053395885e-05
75,ENSDARG00000061338,2.9978069230556617e-34,ENSDARG00000012729,1.1706354275019885e-18,ENSDARG00000102353,6.916341479343426e-41,ENSDARG00000087556,1.599312288803651e-15,ENSDARG00000019420,1.0007612865847084e-28,ENSDARG00000013990,1.378880489797282e-39,ENSDARG00000099692,7.988536447570077e-09,ENSDARG00000057736,1.0215577478611997e-23,ENSDARG00000018574,2.576354194017756e-84,ENSDARG00000104733,5.27333093055108e-08,ENSDARG00000025301,3.968369632965324e-154,ENSDARG00000025549,3.465009078502116e-40,ENSDARG00000034600,8.5836222463443e-106,ENSDARG00000061228,2.145810680434378e-168,ENSDARG00000076066,6.398324864508989e-10,ENSDARG00000102887,8.708867223042979e-05,ENSDARG00000054574,1.382477536829195e-06,ENSDARG00000020679,2.2774921641777358e-14,ENSDARG00000016513,1.4026753643722325e-05,ENSDARG00000098431,7.339098129451456e-09,ENSDARG00000058108,1.8147072340335674e-10,ENSDARG00000077860,0.002006894817936708,ENSDARG00000009209,0.002646665045336627,ENSDARG00000056152,1.0121450693145227e-85,ENSDARG00000038428,0.00029810883676955366,ENSDARG00000038768,7.238473756805088e-79,ENSDARG00000005423,2.7699274625287136e-34,ENSDARG00000087528,1.3876880535234017e-12,ENSDARG00000037928,5.8766085960619034e-05
76,ENSDARG00000027172,5.544220085219475e-34,ENSDARG00000063031,1.438268666338769e-18,ENSDARG00000061774,7.219285676467334e-41,ENSDARG00000042401,2.5317175941370233e-15,ENSDARG00000068246,8.722980482772562e-28,ENSDARG00000052695,6.25743139688046e-39,ENSDARG00000039215,8.461126379190954e-09,ENSDARG00000013732,1.6641953358858725e-23,ENSDARG00000003693,4.0628076431255895e-84,ENSDARG00000040615,5.345020412596823e-08,ENSDARG00000036438,5.227870556352762e-153,ENSDARG00000057414,1.0686265855409809e-39,ENSDARG00000004251,2.782663161358245e-103,ENSDARG00000098671,2.7535019030559916e-167,ENSDARG00000017809,6.442087280757655e-10,ENSDARG00000034518,8.713296731172137e-05,ENSDARG00000060282,1.65908315546367e-06,ENSDARG00000021250,3.566769490313518e-14,ENSDARG00000040803,1.4899513868534032e-05,ENSDARG00000025338,1.0365702692070472e-08,ENSDARG00000069157,2.510780406022748e-10,ENSDARG00000061580,0.0020973081884888213,ENSDARG00000038801,0.002776995412836097,ENSDARG00000004023,8.417193473105761e-85,ENSDARG00000068246,0.0003223193606330612,ENSDARG00000077121,7.53991841068699e-79,ENSDARG00000015757,3.854340132384931e-34,ENSDARG00000018809,1.4949656109265645e-12,ENSDARG00000100013,6.159588488701556e-05
77,ENSDARG00000036073,8.094948182926757e-34,ENSDARG00000015221,2.6972584744296667e-18,ENSDARG00000042252,7.799140853272143e-41,ENSDARG00000061580,3.022169536919268e-15,ENSDARG00000054208,1.1642163586894485e-27,ENSDARG00000018809,7.60886430794699e-39,ENSDARG00000008380,9.101200809796505e-09,ENSDARG00000030765,2.423569913044296e-23,ENSDARG00000024651,2.348647528147988e-83,ENSDARG00000069157,6.634950001620704e-08,ENSDARG00000021346,1.3728521912931047e-148,ENSDARG00000079391,9.029791476552115e-39,ENSDARG00000041644,1.5676310708049306e-101,ENSDARG00000012672,8.207389771557932e-163,ENSDARG00000104149,6.692329054750328e-10,ENSDARG00000078847,8.813035366341049e-05,ENSDARG00000079854,1.6680394697175056e-06,ENSDARG00000029874,8.775565331209544e-14,ENSDARG00000068246,1.520721301964496e-05,ENSDARG00000018782,1.193473229306603e-08,ENSDARG00000030824,2.7619832361569683e-10,ENSDARG00000075446,0.0021820998799518283,ENSDARG00000100206,0.002780362879330503,ENSDARG00000018124,9.627806134772048e-85,ENSDARG00000057736,0.00035109724522763955,ENSDARG00000013732,3.6092364858918575e-78,ENSDARG00000078619,4.963722872493484e-34,ENSDARG00000056504,1.5440448611041938e-12,ENSDARG00000001873,6.262895997167946e-05
